ratio,std_pure,std_crf,delta_std,backbone
0.25,0.07277556350067,0.07172473051527012,-0.0010508329853998882,bert
0.50,0.0747626772829557,0.06071563278896436,-0.014047044493991342,bert
0.75,0.08520142482901087,0.07012522598911865,-0.015076198839892224,bert
1.00,0.08851356107038434,0.08453771277326555,-0.003975848297118792,bert
0.25,0.04697086975955163,0.04816887460892723,0.0011980048493756001,roberta
0.50,0.04249052339444606,0.039808164658139085,-0.0026823587363069765,roberta
0.75,0.0606365387646498,0.059442323738080026,-0.0011942150265697726,roberta
1.00,0.07750526624991366,0.08027339330600142,0.0027681270560877547,roberta
0.25,0.03420674567295732,0.027891680894985255,-0.006315064777972064,xlm
0.50,0.040203404066627514,0.0435032728826237,0.0032998688159961848,xlm
0.75,0.04631736593734527,0.03826893086180912,-0.008048435075536153,xlm
1.00,0.05084852355485247,0.051332832047167896,0.0004843084923154273,xlm
