model,label,case,status,accuracy,total_sec
klue/bert-base,name,case0,ok,1.0,82.4
klue/bert-base,name,case1,ok,0.999538,76.4
klue/bert-base,name,case2,ok,0.999076,74.7
klue/bert-base,name,case3,ok,0.998152,72.4
klue/bert-base,name,casefull,ok,0.95858,76.2
klue/bert-base,phone,case0,ok,1.0,66.1
klue/bert-base,phone,case1,ok,1.0,72.3
klue/bert-base,phone,case2,ok,1.0,86.4
klue/bert-base,phone,case3,ok,1.0,86.0
klue/bert-base,phone,casefull,ok,1.0,83.6
klue/bert-base,email,case0,ok,1.0,69.1
klue/bert-base,email,case1,ok,1.0,77.4
klue/bert-base,email,case2,ok,1.0,76.0
klue/bert-base,email,case3,ok,1.0,67.8
klue/bert-base,email,casefull,ok,1.0,81.2
klue/bert-base,date,case0,ok,1.0,59.0
klue/bert-base,date,case1,ok,1.0,62.7
klue/bert-base,date,case2,ok,1.0,62.2
klue/bert-base,date,case3,ok,1.0,47.3
klue/bert-base,date,casefull,ok,1.0,54.4
klue/bert-base,ri_period,case0,ok,1.0,44.6
klue/bert-base,ri_period,case1,ok,1.0,48.0
klue/bert-base,ri_period,case2,ok,1.0,46.1
klue/bert-base,ri_period,case3,ok,1.0,47.3
klue/bert-base,ri_period,casefull,ok,1.0,51.0
klue/bert-base,address,case0,ok,1.0,64.8
klue/bert-base,address,case1,ok,1.0,70.3
klue/bert-base,address,case2,ok,1.0,71.4
klue/bert-base,address,case3,ok,1.0,64.6
klue/bert-base,address,casefull,ok,1.0,70.3
klue/bert-base,company,case0,ok,0.998105,76.4
klue/bert-base,company,case1,ok,0.994946,86.3
klue/bert-base,company,case2,ok,0.993683,70.4
klue/bert-base,company,case3,ok,0.992419,70.2
klue/bert-base,company,casefull,ok,0.910517,73.9
klue/bert-base,copyright_url,case0,ok,1.0,51.1
klue/bert-base,copyright_url,case1,ok,1.0,50.8
klue/bert-base,copyright_url,case2,ok,1.0,52.2
klue/bert-base,copyright_url,case3,ok,1.0,51.9
klue/bert-base,copyright_url,casefull,ok,1.0,49.6
klue/bert-base,copyright_Keyword,case0,ok,0.995842,36.5
klue/bert-base,copyright_Keyword,case1,ok,0.995842,37.8
klue/bert-base,copyright_Keyword,case2,ok,0.995842,40.8
klue/bert-base,copyright_Keyword,case3,ok,0.995842,37.7
klue/bert-base,copyright_Keyword,casefull,ok,0.995842,46.3
klue/bert-base,copyright_kotitle,case0,ok,0.997054,97.4
klue/bert-base,copyright_kotitle,case1,ok,0.996987,101.5
klue/bert-base,copyright_kotitle,case2,ok,0.997054,108.4
klue/bert-base,copyright_kotitle,case3,ok,0.996987,103.2
klue/bert-base,copyright_kotitle,casefull,ok,0.99672,109.8
klue/bert-base,copyright_description,case0,ok,0.963646,84.2
klue/bert-base,copyright_description,case1,ok,0.963646,83.4
klue/bert-base,copyright_description,case2,ok,0.963646,87.5
klue/bert-base,copyright_description,case3,ok,0.963646,84.0
klue/bert-base,copyright_description,casefull,ok,0.941,90.5
monologg/koelectra-base-v3-discriminator,name,case0,ok,1.0,77.9
monologg/koelectra-base-v3-discriminator,name,case1,ok,1.0,79.3
monologg/koelectra-base-v3-discriminator,name,case2,ok,0.999538,80.1
monologg/koelectra-base-v3-discriminator,name,case3,ok,0.999538,78.4
monologg/koelectra-base-v3-discriminator,name,casefull,ok,0.959848,82.0
monologg/koelectra-base-v3-discriminator,phone,case0,ok,1.0,81.6
monologg/koelectra-base-v3-discriminator,phone,case1,ok,1.0,73.4
monologg/koelectra-base-v3-discriminator,phone,case2,ok,1.0,78.1
monologg/koelectra-base-v3-discriminator,phone,case3,ok,1.0,101.5
monologg/koelectra-base-v3-discriminator,phone,casefull,ok,1.0,86.6
monologg/koelectra-base-v3-discriminator,email,case0,ok,1.0,76.3
monologg/koelectra-base-v3-discriminator,email,case1,ok,1.0,72.2
monologg/koelectra-base-v3-discriminator,email,case2,ok,1.0,79.7
monologg/koelectra-base-v3-discriminator,email,case3,ok,1.0,76.6
monologg/koelectra-base-v3-discriminator,email,casefull,ok,1.0,104.0
monologg/koelectra-base-v3-discriminator,date,case0,ok,1.0,60.4
monologg/koelectra-base-v3-discriminator,date,case1,ok,1.0,56.9
monologg/koelectra-base-v3-discriminator,date,case2,ok,1.0,51.7
monologg/koelectra-base-v3-discriminator,date,case3,ok,1.0,70.3
monologg/koelectra-base-v3-discriminator,date,casefull,ok,1.0,71.2
monologg/koelectra-base-v3-discriminator,ri_period,case0,ok,1.0,61.9
monologg/koelectra-base-v3-discriminator,ri_period,case1,ok,1.0,53.1
monologg/koelectra-base-v3-discriminator,ri_period,case2,ok,1.0,58.5
monologg/koelectra-base-v3-discriminator,ri_period,case3,ok,1.0,53.9
monologg/koelectra-base-v3-discriminator,ri_period,casefull,ok,1.0,55.0
monologg/koelectra-base-v3-discriminator,address,case0,ok,1.0,71.7
monologg/koelectra-base-v3-discriminator,address,case1,ok,1.0,69.6
monologg/koelectra-base-v3-discriminator,address,case2,ok,1.0,68.9
monologg/koelectra-base-v3-discriminator,address,case3,ok,1.0,75.4
monologg/koelectra-base-v3-discriminator,address,casefull,ok,1.0,72.0
monologg/koelectra-base-v3-discriminator,company,case0,ok,0.998105,75.6
monologg/koelectra-base-v3-discriminator,company,case1,ok,0.99621,77.0
monologg/koelectra-base-v3-discriminator,company,case2,ok,0.99621,82.6
monologg/koelectra-base-v3-discriminator,company,case3,ok,0.993683,76.0
monologg/koelectra-base-v3-discriminator,company,casefull,ok,0.91226,85.1
monologg/koelectra-base-v3-discriminator,copyright_url,case0,ok,1.0,54.2
monologg/koelectra-base-v3-discriminator,copyright_url,case1,ok,1.0,55.5
monologg/koelectra-base-v3-discriminator,copyright_url,case2,ok,1.0,51.7
monologg/koelectra-base-v3-discriminator,copyright_url,case3,ok,1.0,55.4
monologg/koelectra-base-v3-discriminator,copyright_url,casefull,ok,1.0,54.3
monologg/koelectra-base-v3-discriminator,copyright_Keyword,case0,ok,0.995842,41.7
monologg/koelectra-base-v3-discriminator,copyright_Keyword,case1,ok,0.995842,40.7
monologg/koelectra-base-v3-discriminator,copyright_Keyword,case2,ok,0.995842,44.5
monologg/koelectra-base-v3-discriminator,copyright_Keyword,case3,ok,0.995842,43.6
monologg/koelectra-base-v3-discriminator,copyright_Keyword,casefull,ok,0.995842,46.4
monologg/koelectra-base-v3-discriminator,copyright_kotitle,case0,ok,0.99692,110.3
monologg/koelectra-base-v3-discriminator,copyright_kotitle,case1,ok,0.996318,123.9
monologg/koelectra-base-v3-discriminator,copyright_kotitle,case2,ok,0.996653,125.5
monologg/koelectra-base-v3-discriminator,copyright_kotitle,case3,ok,0.996452,126.6
monologg/koelectra-base-v3-discriminator,copyright_kotitle,casefull,ok,0.995648,135.4
monologg/koelectra-base-v3-discriminator,copyright_description,case0,ok,0.963646,104.5
monologg/koelectra-base-v3-discriminator,copyright_description,case1,ok,0.963646,102.5
monologg/koelectra-base-v3-discriminator,copyright_description,case2,ok,0.963646,104.2
monologg/koelectra-base-v3-discriminator,copyright_description,case3,ok,0.963134,114.6
