Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 20,Unnamed: 21
,대구광역시청 공공저작물 권리확인 요청 목록 (연계 선택),,,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,1,대구광역시,"HOME > 민원·소통·참여 > 지방분권 > 지방분권, 함께 해요!","지방분권, 함께 해요!",찾아가는 구군 분권 토크 개최 안내(수성구),https://www.daegu.go.kr/index.do?menu_id=00000724,2016-09-12 00:00:00,-,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,2,대구광역시,"HOME > 민원·소통·참여 > 지방분권 > 지방분권, 함께 해요!","지방분권, 함께 해요!",찾아가는 구군 분권 토크 개최 안내(동구),,2016-09-12 00:00:00,-,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,3,대구광역시,"HOME > 민원·소통·참여 > 지방분권 > 지방분권, 함께 해요!","지방분권, 함께 해요!",지방분권 리더 아카데미 개최 안내,,2016-09-13 00:00:00,-,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,4,대구광역시,"HOME > 민원·소통·참여 > 지방분권 > 지방분권, 함께 해요!","지방분권, 함께 해요!",찾아가는 구군 분권 토크 개최 안내(중구편),,2016-10-12 00:00:00,-,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,5,대구광역시,"HOME > 민원·소통·참여 > 지방분권 > 지방분권, 함께 해요!","지방분권, 함께 해요!",찾아가는 구군 분권 토크(달서구편) 개최 안내,,2016-11-01 00:00:00,-,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,6,대구광역시,"HOME > 민원·소통·참여 > 지방분권 > 지방분권, 함께 해요!","지방분권, 함께 해요!",찾아가는 구군 분권 토크(남구편) 개최 안내,,2016-11-21 00:00:00,-,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,7,대구광역시,"HOME > 민원·소통·참여 > 지방분권 > 지방분권, 함께 해요!","지방분권, 함께 해요!",대구시 지방분권 대학(원)생 홍보단 모집,,2016-11-30 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,8,대구광역시,"HOME > 민원·소통·참여 > 지방분권 > 지방분권, 함께 해요!","지방분권, 함께 해요!",대구광역시 '지방분권 세미나' 개최 안내,,2016-11-30 00:00:00,-,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
