Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 19,Unnamed: 20
,강진군청 공공저작물 권리확인 요청 목록 (단순데이터),,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,1,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,공통사항,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,2,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,기획홍보실,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,3,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,문화관광실,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,4,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,농정과,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,5,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,인구정책과,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,6,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,환경축산과,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,7,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,해양산림과,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,8,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,건설과,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,9,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,안전재난교통과,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,10,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,주민복지과,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,11,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,군민행복과,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,12,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,민원봉사과,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,13,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,세무회계과,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,14,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,총무과,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,15,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,보건소,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,16,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,상하수도사업소,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,17,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,스포츠산업단,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,18,강진군청,HOME > 편리한민원 > 민원사무편람,민원사무편람,읍면,,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
,19,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2001년 연혁,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,20,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2001년 토지 및 기후,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,21,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2001년 인구,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
