Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,안성시청 권리처리 목록,,,,,,,,,,,,
,순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
,1,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천문과학관] 안성맞춤천문과학관 일주사진,"안성맞춤천문과학관,.
Canon EOS 6D
EF 24-105mm f/4
2018/05/24",2018-09-14 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,2,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 천체망원경으로 본 토성,"안성맞춤천문과학관 보조관측실
Meade LX200 16"" SCT (지름 40cm 반사굴절복합식 망원경)
Moningcalm 700GE 적도의
QHY5L-mono CCD 천체사진 전용 카메라
2018/07/21 01:19",2018-09-14 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,3,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 천체망원경으로 본 반달,"안성맞춤천문과학관 주관측실
Canon EOS 60D
APM 250mm f/9 굴절망원경(f=2,250mm) : 지름 25cm 굴절망원경(주망원경)
Paramount MX 적도의

ISO 800, 1/640s
2018/06/20 22:25",2018-09-14 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,4,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[행사사진] 보조관측실 관측 모습,보조관측실 운영 중 전경,2018-09-14 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,5,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천문과학관] 안성맞춤랜드,보조관측실 운영 중 전경,2018-09-18 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,6,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 안성 봉업사지 오층석탑 [보물 제435호],"안성 봉업사지 오층석탑 [보물 제435호]
2018/07/30 00:32 ~ 04:04",2018-09-18 00:00:00,0,3,0,제2유형,제1유형,촬영자의 동의서,
,7,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 안성 죽주산성 (경기도 기념물 제 69호),"안성 죽주산성(경기도 기념물 제69호)
2017/01/23 01:14~04:19",2018-09-18 00:00:00,0,2,0,제2유형,제1유형,촬영자의 동의서,
,8,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 안성맞춤랜드,"안성맞춤랜드
Nikon D5300
AF-P Nikkor 18-55mm f/3.5-5.6
2018/08/18 01:14 ~ 01:51",2018-09-18 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,9,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천문과학관] 천체투영관(4D영상관) 전경,안성맞춤천문과학관 천체투영관(4D영상관) 전경,2018-09-20 00:00:00,0,3,0,제2유형,제1유형,촬영자의 동의서,
,10,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 추석 전 달(음력 13일 달),"안성맞춤천문과학관
Canon EOS 6D
APM 25cm 굴절망원경 (f=2,200mm)
2018/09/22 22:21

ㅡ 추석 전 달 (음력 13일)의 모습입니다.
ㅡ 올해 추석에는 조금 모자란 보름달이고, 25일(화)에 보름 조금 지난 달이 뜹니다.",2018-09-26 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
