Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 20,Unnamed: 21
,[국제방송교류재단] 공공저작물 권리확인 요청 목록 (대표홈페이지),,,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,1,아리랑국제방송,HOME > RADIO > PodCast > GOOD MORNING SEOUL > #WhoKnew,#WhoKnew,대표이미지,https://www.arirang.com/radio/podcast/episode/52,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788429507007349236.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,2,아리랑국제방송,HOME > RADIO > PodCast > KOREA NOW > All about K,All about K,대표이미지,https://www.arirang.com/radio/podcast/episode/68,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202209/1623796783299690534.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,3,아리랑국제방송,HOME > RADIO > PodCast > SUPER K-POP > Amor Fati,Amor Fati,대표이미지,https://www.arirang.com/radio/podcast/episode/64,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788444292818141684.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,4,아리랑국제방송,HOME > RADIO > PodCast > ARIRANG RADIO NEWS  > Arirang News,Arirang News,대표이미지,https://www.arirang.com/radio/podcast/episode/101,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202310/2208420760362418848.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,5,아리랑국제방송,HOME > RADIO > PodCast > #daily K > Check it Out,Check it Out,대표이미지,https://www.arirang.com/radio/podcast/episode/60,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788442105522160116.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,6,아리랑국제방송,HOME > RADIO > PodCast > 20th Anniversary Special: City Farmer > City Farmer,City Farmer,대표이미지,https://www.arirang.com/radio/podcast/episode/112,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202311/2244659653390631588.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,7,아리랑국제방송,HOME > RADIO > PodCast > GOOD MORNING SEOUL > Culture Analysis,Culture Analysis,대표이미지,https://www.arirang.com/radio/podcast/episode/102,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202310/2208281924470833824.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,8,아리랑국제방송,HOME > RADIO > PodCast > GOOD MORNING SEOUL > Culture Seekers,Culture Seekers,대표이미지,https://www.arirang.com/radio/podcast/episode/51,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788429954002715124.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,9,아리랑국제방송,HOME > RADIO > PodCast > #daily K > Dish of the Day,Dish of the Day,대표이미지,https://www.arirang.com/radio/podcast/episode/59,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788442534062588404.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,10,아리랑국제방송,HOME > RADIO > PodCast > #daily K > Easy as 가나다,Easy as 가나다,대표이미지,https://www.arirang.com/radio/podcast/episode/80,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202310/2208419113343124128.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,11,아리랑국제방송,"HOME > RADIO > PodCast > GOOD MORNING SEOUL > Extra, Extra, Read All About It","Extra, Extra, Read All About It",대표이미지,https://www.arirang.com/radio/podcast/episode/53,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788429100075975156.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,12,아리랑국제방송,HOME > RADIO > PodCast > KOREA NOW > Focus on Headline,Focus on Headline,대표이미지,https://www.arirang.com/radio/podcast/episode/87,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788445177883394548.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,13,아리랑국제방송,HOME > RADIO > PodCast > K-POPPIN' > GASA Love,GASA Love,대표이미지,https://www.arirang.com/radio/podcast/episode/103,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202304/1908646558279139900.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,14,아리랑국제방송,HOME > RADIO > PodCast > GOOD MORNING SEOUL > GMS  Special: The Corona-Era,GMS  Special: The Corona-Era,대표이미지,https://www.arirang.com/radio/podcast/episode/57,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788427485503816180.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,15,아리랑국제방송,HOME > RADIO > PodCast > GOOD MORNING SEOUL > GMS FOCUS,GMS FOCUS,대표이미지,https://www.arirang.com/radio/podcast/episode/48,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202209/1623786541044203558.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,16,아리랑국제방송,HOME > RADIO > PodCast > WONDERS OF JEJU > Humans of Jeju,Humans of Jeju,대표이미지,https://www.arirang.com/radio/podcast/episode/69,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202209/1623797221956780070.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,17,아리랑국제방송,HOME > RADIO > PodCast > Hot Beat > I Love K-Pop,I Love K-Pop,대표이미지,https://www.arirang.com/radio/podcast/episode/85,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788451109585551860.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,18,아리랑국제방송,HOME > RADIO > PodCast > #daily K > Inside Korea,Inside Korea,대표이미지,https://www.arirang.com/radio/podcast/episode/79,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788441306658243060.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,19,아리랑국제방송,HOME > RADIO > PodCast > WONDERS OF JEJU > Johnny's Island Tours,Johnny's Island Tours,대표이미지,https://www.arirang.com/radio/podcast/episode/70,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788446613140668916.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,20,아리랑국제방송,HOME > RADIO > PodCast > Cine Factory > K-Movie Interview,K-Movie Interview,대표이미지,https://www.arirang.com/radio/podcast/episode/94,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788448731499069940.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,21,아리랑국제방송,HOME > RADIO > PodCast > GOOD MORNING SEOUL > Keyword News,Keyword News,대표이미지,https://www.arirang.com/radio/podcast/episode/47,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202209/1623786249842065446.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,22,아리랑국제방송,HOME > RADIO > PodCast > KOREA NOW > Korea on Demand,Korea on Demand,대표이미지,https://www.arirang.com/radio/podcast/episode/104,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202310/2208256813156008608.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,23,아리랑국제방송,HOME > RADIO > PodCast > Cine Factory > Korean Film Review,Korean Film Review,대표이미지,https://www.arirang.com/radio/podcast/episode/97,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788448365118226932.jpg,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,24,아리랑국제방송,HOME > RADIO > PodCast > K-POPPIN' > LOGIN KOREA,LOGIN KOREA,대표이미지,https://www.arirang.com/radio/podcast/episode/62,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788443357169582580.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,25,아리랑국제방송,"HOME > RADIO > PodCast > KOREA NOW > Made it, Korea","Made it, Korea",대표이미지,https://www.arirang.com/radio/podcast/episode/109,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202310/2208259291167589024.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,26,아리랑국제방송,HOME > RADIO > PodCast > Marking 120 Years: Transformative Scenes in Korean Immigration > Marking 120 Years: Transformative Scenes in Korean Immigration,Marking 120 Years: Transformative Scenes in Korean Immigration,대표이미지,https://www.arirang.com/radio/podcast/episode/107,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202309/2128907252617183882.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,27,아리랑국제방송,HOME > RADIO > PodCast > #daily K > Now and Then,Now and Then,대표이미지,https://www.arirang.com/radio/podcast/episode/61,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202209/1623794021518278694.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,28,아리랑국제방송,HOME > RADIO > PodCast > SUPER K-POP > Oh My Idol,Oh My Idol,대표이미지,https://www.arirang.com/radio/podcast/episode/90,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788443891070927348.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,29,아리랑국제방송,HOME > RADIO > PodCast > GOOD MORNING SEOUL > People,People,대표이미지,https://www.arirang.com/radio/podcast/episode/55,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788428513158627828.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,30,아리랑국제방송,HOME > RADIO > PodCast > K-POPPIN' > People of Korea (Insider),People of Korea (Insider),대표이미지,https://www.arirang.com/radio/podcast/episode/89,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788443029879652852.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,31,아리랑국제방송,HOME > RADIO > PodCast > #daily K > Peters on the blcok,Peters on the blcok,대표이미지,https://www.arirang.com/radio/podcast/episode/113,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202404/2435842990929871553.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,32,아리랑국제방송,HOME > RADIO > PodCast > GOOD MORNING SEOUL > Really? Really!,Really? Really!,대표이미지,https://www.arirang.com/radio/podcast/episode/50,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788430569189671412.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,33,아리랑국제방송,HOME > RADIO > PodCast > Cine Factory > Screen Your Life ,Screen Your Life ,대표이미지,https://www.arirang.com/radio/podcast/episode/81,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202301/1788449798613893620.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,34,아리랑국제방송,HOME > RADIO > PodCast > #daily K > Show & Tell,Show & Tell,대표이미지,https://www.arirang.com/radio/podcast/episode/105,-,https://img.arirang.com/v1/AUTH_d52449c16d3b4bbca17d4fffd9fc44af//public/corner/202310/2208418448847930016.png,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
