Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 18,Unnamed: 19
,[국제방송교류재단] 공공저작물 권리확인 요청 목록 (영상),,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,1,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,가족공원,2020-11-17 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,"촬영 중 주변인들의 대화 소리, 길거리 소음 등이 함께 녹음된 경우 다수"
,2,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,대학로,2020-11-17 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,3,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,덕수궁,2020-11-17 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 식별불가 초상,
,4,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,농축시험장,2020-11-17 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,5,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,서울대공원,2020-11-17 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,6,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,롯데월드,2020-11-17 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,7,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,해변기암절벽,2020-11-17 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,8,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,수덕사,2020-11-17 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 식별불가 초상,
,9,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,천은사,2020-11-17 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 식별불가 초상,
,10,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,쌍계사,2020-11-17 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 식별불가 초상,
,11,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,소래포구,2020-11-17 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 식별불가 초상,
,12,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,자연농원,2020-11-17 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,13,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,남대문시장,2020-11-17 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,14,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,포천,2020-11-17 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,15,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,강화도,2020-11-17 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,16,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,전주2,2020-11-17 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,17,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,통도사,2020-11-17 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,18,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,간월사지2,2020-11-12 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,19,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,영천_은해사2,2020-11-10 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,20,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,전주,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,21,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,대전,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,22,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,수원2,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,23,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,제주도,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,24,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,수원,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,25,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,양평,2020-11-10 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,26,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,삼척,2020-11-10 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,27,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,영양,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 식별불가 초상,
,28,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,선무도,2020-11-10 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,29,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,완도,2020-11-10 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,30,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,낙안읍성,2020-11-10 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,31,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,호암미술관,2020-11-10 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,32,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,내원사,2020-11-10 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,33,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,오대산2,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 식별불가 초상,
,34,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,간월사지,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,35,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,오죽헌2,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,36,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,오대산,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,37,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,도산서원,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,38,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,오죽헌,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,39,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,전남낙안,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,40,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,안동_별신굿2,2020-11-10 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,41,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,안동_별신굿1,2020-11-10 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,42,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,안동_하회마을,2020-11-10 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,43,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,안동_안동소주박물관,2020-11-10 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,O,,,,박물관 소장자료 촬영,
,44,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,경북 고령,2020-10-23 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,45,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,경북 군위2,2020-10-23 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,46,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,경북 군위1,2020-10-23 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,47,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,경북 영주2,2020-10-23 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,48,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,경북 영주,2020-10-23 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,49,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,경북 김천_징만들기,2020-10-23 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 식별불가 초상,
,50,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,경북 울진 죽변_어판장,2020-10-23 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,51,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,경주_골굴사,2020-10-23 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,52,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,경북 청도_수도암계곡,2020-10-23 00:00:00,미개방,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,53,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,경북 죽변_꽁치잡이,2020-10-23 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
,54,DAM,DAM> NPS> 2-3OK/CUT> INGEST 9598,DOCUMENTARY,옥 제작 과정,2020-10-23 00:00:00,미개방,,내부확인 필요,공공누리 2~4유형,,,,,,O,,일반인 초상,
