Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 19,Unnamed: 20
,[국회도서관] 공공저작물 권리확인 요청 목록 (월간 국회도서관),,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시물 제목,url,발행년,저자,발행처,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,1,국회전자도서관,明齋先生遺稿(及)別集. 冊14-26,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201400006,18--,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,2,국회전자도서관,明齋先生遺稿(及)別集. 冊1-13,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198029889,18--,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,3,국회전자도서관,內外案,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000024,1800,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,4,국회전자도서관,"杜草堂詩, 1-4",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000029,1800,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,5,국회전자도서관,"陶靖節詩, 1-2",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000027,1800,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,6,국회전자도서관,"湖南節義錄, 冊1-5",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198040814,1800,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,7,국회전자도서관,雙節錄,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000018,1800,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,8,국회전자도서관,朱書百選. 冊 1-2,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP12022000000059,1800,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
