Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
,,,,,,,,합계,,590,,,,,원제목　,대체명,-,-,-,-,-,제작일　,공표일,-,저작권자명,소속,-,-,-,-,-,-,-,복제권,공연권,공중송신권,전시권,배포권,대여권,2차적저작물 작성권,-,저작권 만료일　,계약상 유효기간,-
,1,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 비전보육 홍보책자,비전보육 32호,-,2024-03-08 00:00:00,1,미부착,제3유형,무,-,비전보육 32호,-,어문,문서,-,보육,한국어,-,2024-03-08 00:00:00,계약서상 저작권 보유,한국보육진흥원,-,-,-,제3유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,X,-,2094-03-08 00:00:00,-,-
,2,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 비전보육 홍보책자,비전보육 31호,-,2023-01-09 00:00:00,1,미부착,제3유형,무,-,비전보육 31호,-,어문,문서,-,보육,한국어,-,2023-01-09 00:00:00,계약서상 저작권 보유,한국보육진흥원,-,-,-,제3유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,X,-,2093-01-09 00:00:00,-,-
,3,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 비전보육 홍보책자,비전보육 30호,-,2022-07-26 00:00:00,1,미부착,제3유형,무,-,비전보육 30호,-,어문,문서,-,보육,한국어,-,2022-07-26 00:00:00,계약서상 저작권 보유,한국보육진흥원,-,-,-,제3유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,X,-,2092-07-26 00:00:00,-,-
,4,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 비전보육 홍보책자,비전보육 29호,-,2021-12-22 00:00:00,1,미부착,제3유형,무,-,비전보육 29호,-,어문,문서,-,보육,한국어,-,2021-12-22 00:00:00,계약서상 저작권 보유,한국보육진흥원,-,-,-,제3유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,X,-,2091-12-22 00:00:00,-,-
,5,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 비전보육 홍보책자,비전보육 28호,-,2021-08-04 00:00:00,1,미부착,제3유형,무,-,비전보육 28호,-,어문,문서,-,보육,한국어,-,2021-08-04 00:00:00,계약서상 저작권 보유,한국보육진흥원,-,-,-,제3유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,X,-,2091-08-04 00:00:00,-,-
,6,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 비전보육 홍보책자,비전보육 27호,-,2021-01-08 00:00:00,1,미부착,제3유형,무,-,비전보육 27호,-,어문,문서,-,보육,한국어,-,2021-01-08 00:00:00,계약서상 저작권 보유,한국보육진흥원,-,-,-,제3유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,X,-,2091-01-08 00:00:00,-,-
,7,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석] 미인증어린이집 현황 및 질 관리 사각지대 해소 방안,-,2019-02-26 00:00:00,1,미부착,제1유형,무,-,[이슈분석] 미인증어린이집 현황 및 질 관리 사각지대 해소 방안,-,어문,문서,-,보육,한국어,-,2019-02-26 00:00:00,업무상저작물,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2089-02-26 00:00:00,-,-
,8,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석] 평가인증 어린이집의 인증 후 질 유지 현황 및 개선방안,-,2019-02-26 00:00:00,1,미부착,제1유형,무,-,[이슈분석] 평가인증 어린이집의 인증 후 질 유지 현황 및 개선방안,-,어문,문서,-,보육,한국어,-,2019-02-26 00:00:00,업무상저작물,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2089-02-26 00:00:00,-,-
,9,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석] 어린이집 평가인증 통합지표 적용결과와 개선과제,-,2019-02-26 00:00:00,1,미부착,제1유형,무,-,[이슈분석] 어린이집 평가인증 통합지표 적용결과와 개선과제,-,어문,문서,-,보육,한국어,-,2019-02-26 00:00:00,업무상저작물,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2089-02-26 00:00:00,-,-
,10,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석] 보육교직원 인성교육 및 평가 사업 현황과 개선방안,-,2018-10-24 00:00:00,1,미부착,제1유형,무,-,[이슈분석] 보육교직원 인성교육 및 평가 사업 현황과 개선방안,-,어문,문서,-,보육,한국어,-,2018-10-24 00:00:00,업무상저작물,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2088-10-24 00:00:00,-,-
,11,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석] 보육교직원 보수교육 실태와 개선방안,-,2018-10-24 00:00:00,1,미부착,제1유형,무,-,[이슈분석] 보육교직원 보수교육 실태와 개선방안,-,어문,문서,-,보육,한국어,-,2018-10-24 00:00:00,-,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2088-10-24 00:00:00,-,-
,12,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석] 보육지원사업에서 평가인증 연계와 활용,-,2018-05-09 00:00:00,1,미부착,제1유형,무,-,[이슈분석] 보육지원사업에서 평가인증 연계와 활용,-,어문,문서,-,보육,한국어,-,2018-05-09 00:00:00,-,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2088-05-09 00:00:00,-,-
,13,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석] 어린이집 평가인증 현장관찰자 전문성 제고 방안,-,2018-05-09 00:00:00,1,미부착,제1유형,무,-,[이슈분석] 어린이집 평가인증 현장관찰자 전문성 제고 방안,-,어문,문서,-,보육,한국어,-,2018-05-09 00:00:00,-,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2088-05-09 00:00:00,-,-
,14,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석] 다문화가족 아동 보육교직원 교육현황과 개선과제,-,2018-05-09 00:00:00,1,미부착,제1유형,무,-,[이슈분석] 다문화가족 아동 보육교직원 교육현황과 개선과제,-,어문,문서,-,보육,한국어,-,2018-05-09 00:00:00,-,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2088-05-09 00:00:00,-,-
,15,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석] 장애아동 보육교직원 교육 현황과 개선과제,-,2018-05-09 00:00:00,1,미부착,제1유형,무,-,[이슈분석] 장애아동 보육교직원 교육 현황과 개선과제,-,어문,문서,-,보육,한국어,-,2018-05-09 00:00:00,-,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2088-05-09 00:00:00,-,-
,16,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석] 시간제보육 사업의 성과와 내실화 방안,-,2018-05-09 00:00:00,1,미부착,제1유형,무,-,[이슈분석] 시간제보육 사업의 성과와 내실화 방안,-,어문,문서,-,보육,한국어,-,2018-05-09 00:00:00,-,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2088-05-09 00:00:00,-,-
,17,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석] 공공형어린이집 관리운영 실태분석 및 품질제고 방안,-,2017-03-22 00:00:00,1,미부착,제1유형,무,-,[이슈분석] 공공형어린이집 관리운영 실태분석 및 품질제고 방안,-,어문,문서,-,보육,한국어,-,2017-03-22 00:00:00,-,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2087-03-22 00:00:00,-,-
,18,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석] 어린이집 평가인증 3차 지표 시범사업 결과 분석을 통한 발전방안 모색,-,2017-03-22 00:00:00,1,미부착,제1유형,무,-,[이슈분석] 어린이집 평가인증 3차 지표 시범사업 결과 분석을 통한 발전방안 모색,-,어문,문서,-,보육,한국어,-,2017-03-22 00:00:00,-,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2087-03-22 00:00:00,-,-
,19,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석]평가인증제도에 관한 부모 인식 및 만족도 조사를 통한 질 제고 방안,-,2016-08-31 00:00:00,1,미부착,제1유형,무,-,[이슈분석]평가인증제도에 관한 부모 인식 및 만족도 조사를 통한 질 제고 방안,-,어문,문서,-,보육,한국어,-,2016-08-31 00:00:00,-,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2086-08-31 00:00:00,-,-
,20,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석]인증어린이집의 실태와 부모만족도를 통한 민간 및 가정 어린이집의 활성화 방안,-,2016-08-31 00:00:00,1,미부착,제1유형,무,-,[이슈분석]인증어린이집의 실태와 부모만족도를 통한 민간 및 가정 어린이집의 활성화 방안,-,어문,문서,-,보육,한국어,-,2016-08-31 00:00:00,-,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2086-08-31 00:00:00,-,-
,21,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석]어린이집 평가인증이 보육서비스의 질적 수준 향상에 미치는 영향,-,2016-08-31 00:00:00,1,미부착,제1유형,무,-,[이슈분석]어린이집 평가인증이 보육서비스의 질적 수준 향상에 미치는 영향,-,어문,문서,-,보육,한국어,-,2016-08-31 00:00:00,-,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2086-08-31 00:00:00,-,-
,22,어문,간행물,한국보육진흥원,한국보육진흥원,HOME > 알림마당 > 발간물 > 이슈분석 보고서,[이슈분석]국공립보육시설 대기자 실태조사를 통한 댜기자 적체 해소방안,-,2016-08-31 00:00:00,1,미부착,제1유형,무,-,[이슈분석]국공립보육시설 대기자 실태조사를 통한 댜기자 적체 해소방안,-,어문,문서,-,보육,한국어,-,2016-08-31 00:00:00,-,한국보육진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2086-08-31 00:00:00,-,-
