Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
,,,,,,,,합계,,57,,,,,원제목　,대체명,-,-,-,-,-,제작일　,공표일,-,저작권자명,소속,-,-,-,-,-,-,-,복제권,공연권,공중송신권,전시권,배포권,대여권,2차적저작물 작성권,-,저작권 만료일　,계약상 유효기간,-
,1,어문,예술,부안군립도서관,부안군립도서관,부안문화 제11호,지역문화 알기,-,2006-12-30 00:00:00,1,비표출,제4유형,유,-,지역문화 알기,-,어문,문서,-,지역문화,한국어,-,2006-12-30 00:00:00,이용허락동의서,박재순,-,-,부안문화원(부안군립도서관),제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2,어문,예술,부안군립도서관,부안군립도서관,부안문화 제13호,평생배움터 문화학교,-,2008-12-31 00:00:00,1,비표출,제4유형,무,-,평생배움터 문화학교,-,어문,문서,-,지역문화,한국어,-,2008-12-31 00:00:00,이용허락동의서,박재순,-,-,부안문화원(부안군립도서관),제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,3,어문,예술,부안군립도서관,부안군립도서관,부안문화 제14호,부안의 새로운 명소,-,2009-12-31 00:00:00,1,비표출,제4유형,무,-,부안의 새로운 명소,-,어문,문서,-,지역문화,한국어,-,2009-12-31 00:00:00,이용허락동의서,박재순,-,-,부안문화원(부안군립도서관),제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,4,어문,예술,부안군립도서관,부안군립도서관,부안문화 제24호,어느 방랑자의 고백,-,2019-12-31 00:00:00,1,비표출,제4유형,무,-,어느 방랑자의 고백,-,어문,문서,-,지역문화,한국어,-,2019-12-31 00:00:00,이용허락동의서,이동희,-,-,부안문화원(부안군립도서관),제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,5,어문,예술,부안군립도서관,부안군립도서관,부안문화 제24호,변산 해변,-,2019-12-31 00:00:00,1,비표출,제4유형,무,-,변산 해변,-,어문,문서,-,지역문화,한국어,-,2019-12-31 00:00:00,이용허락동의서,조명환,-,-,부안문화원(부안군립도서관),제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,6,어문,예술,부안군립도서관,부안군립도서관,부안문화 제24호,직소폭포,-,2019-12-31 00:00:00,1,비표출,제4유형,무,-,직소폭포,-,어문,문서,-,지역문화,한국어,-,2019-12-31 00:00:00,이용허락동의서,조명환,-,-,부안문화원(부안군립도서관),제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,7,어문,예술,부안군립도서관,부안군립도서관,부안문화 제24호,다락방 일기,-,2019-12-31 00:00:00,1,비표출,제4유형,무,-,다락방 일기,-,어문,문서,-,지역문화,한국어,-,2019-12-31 00:00:00,이용허락동의서,홍근숙,-,-,부안문화원(부안군립도서관),제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,8,어문,예술,부안군립도서관,부안군립도서관,부안문화 제24호,꽃바람,-,2019-12-31 00:00:00,1,비표출,제4유형,무,-,꽃바람,-,어문,문서,-,지역문화,한국어,-,2019-12-31 00:00:00,이용허락동의서,홍근숙,-,-,부안문화원(부안군립도서관),제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
