Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
,,,,,,,,합계,,3920,,,,,원제목　,대체명,-,-,-,-,-,제작일　,공표일,-,저작권자명,소속,-,-,-,-,-,-,-,복제권,공연권,공중송신권,전시권,배포권,대여권,2차적저작물 작성권,-,저작권 만료일　,계약상 유효기간,-
,1,어문,간행물,국회도서관,국회전자도서관,국회도서관 소장자료,三才圖會 : 地理. 1-4,-,16uu,1,미부착,제1유형,무,-,三才圖會 : 地理. 1-4,-,어문,문서,-,법률,한국어,-,16uu,-,국회도서관,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,만료추정,-,-
,2,어문,간행물,국회도서관,국회전자도서관,국회도서관 소장자료,制憲國會議員寫眞帖,-,1900,1,미부착,제1유형,무,-,制憲國會議員寫眞帖,-,어문,문서,-,법률,한국어,-,1905-03-14 00:00:00,-,국회도서관,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,1970,-,-
,3,어문,간행물,국회도서관,국회전자도서관,국회도서관 소장자료,初代參議員寫眞帖,-,1900,1,미부착,제1유형,무,-,初代參議員寫眞帖,-,어문,문서,-,법률,한국어,-,1905-03-14 00:00:00,-,국회도서관,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,1970,-,-
,4,어문,간행물,국회도서관,국회전자도서관,국회도서관 소장자료,國會議事速記錄. 卷之1-3,-,1948,1,미부착,만료 공공저작물,무,-,國會議事速記錄. 卷之1-3,-,어문,문서,-,법률,한국어,-,1905-05-01 00:00:00,-,국회도서관,-,-,-,만료 공공저작물,저작물,만료저작물,-,상업적이용가능,○,○,○,○,○,○,○,-,만료저작물,-,-
,5,어문,간행물,국회도서관,국회전자도서관,국회도서관 소장자료,國會議事速記錄. 卷之4-5,-,1948,1,미부착,만료 공공저작물,무,-,國會議事速記錄. 卷之4-5,-,어문,문서,-,법률,한국어,-,1905-05-01 00:00:00,-,국회도서관,-,-,-,만료 공공저작물,저작물,만료저작물,-,상업적이용가능,○,○,○,○,○,○,○,-,만료저작물,-,-
,6,어문,간행물,국회도서관,국회전자도서관,국회도서관 소장자료,國會議事速記錄. 卷之10,-,1949,1,미부착,만료 공공저작물,무,-,國會議事速記錄. 卷之10,-,어문,문서,-,법률,한국어,-,1905-05-02 00:00:00,-,국회도서관,-,-,-,만료 공공저작물,저작물,만료저작물,-,상업적이용가능,○,○,○,○,○,○,○,-,만료저작물,-,-
,7,어문,간행물,국회도서관,국회전자도서관,국회도서관 소장자료,國會議事速記錄. 卷之6-7,-,1949,1,미부착,만료 공공저작물,무,-,國會議事速記錄. 卷之6-7,-,어문,문서,-,법률,한국어,-,1905-05-02 00:00:00,-,국회도서관,-,-,-,만료 공공저작물,저작물,만료저작물,-,상업적이용가능,○,○,○,○,○,○,○,-,만료저작물,-,-
,8,어문,간행물,국회도서관,국회전자도서관,국회도서관 소장자료,國會議事速記錄. 卷之8-9,-,1949,1,미부착,만료 공공저작물,무,-,國會議事速記錄. 卷之8-9,-,어문,문서,-,법률,한국어,-,1905-05-02 00:00:00,-,국회도서관,-,-,-,만료 공공저작물,저작물,만료저작물,-,상업적이용가능,○,○,○,○,○,○,○,-,만료저작물,-,-
