Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
,,,,,,,,합계,,67,,,,,원제목　,대체명,-,-,-,-,-,제작일　,공표일,-,저작권자명,소속,-,-,-,-,-,-,-,복제권,공연권,공중송신권,전시권,배포권,대여권,2차적저작물 작성권,-,저작권 만료일　,계약상 유효기간,-
,1,어문,간행물,한국지능정보사회진흥원,NIA 한국지능정보사회진흥원,HOME > 지식정보 > 간행물 > 정보화정책저널,[제31권 제2호] 챗GPT 등장 이후 인공지능 환각 연구의 문헌 검토: 아카이브(arXiv)의 논문을 중심으로,-,2024-07-02 00:00:00,1,미부착,제1유형,유,-,[제31권 제2호] 챗GPT 등장 이후 인공지능 환각 연구의 문헌 검토: 아카이브(arXiv)의 논문을 중심으로,-,어문,문서,-,정책,한국어,-,2024-07-02 00:00:00,이용허락동의서,한국지능정보사회진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2094-07-02 00:00:00,-,-
,2,어문,간행물,한국지능정보사회진흥원,NIA 한국지능정보사회진흥원,HOME > 지식정보 > 간행물 > 정보화정책저널,[제31권 제2호] 공공기관 쇼핑몰 온라인 품질 평가 및 개선 방안 연구: 오프라인 품질을 중심으로,-,2024-07-02 00:00:00,1,미부착,제1유형,유,-,[제31권 제2호] 공공기관 쇼핑몰 온라인 품질 평가 및 개선 방안 연구: 오프라인 품질을 중심으로,-,어문,문서,-,정책,한국어,-,2024-07-02 00:00:00,이용허락동의서,한국지능정보사회진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2094-07-02 00:00:00,-,-
,3,어문,간행물,한국지능정보사회진흥원,NIA 한국지능정보사회진흥원,HOME > 지식정보 > 간행물 > 정보화정책저널,[제31권 제2호] 스마트 IoT 서비스 사용자의 개인정보 보호 행동 준수: 소프트웨어 업데이트 유도를 위한 메세지 디자인 특성에 관한 실증 연구,-,2024-07-02 00:00:00,1,미부착,제1유형,유,-,[제31권 제2호] 스마트 IoT 서비스 사용자의 개인정보 보호 행동 준수: 소프트웨어 업데이트 유도를 위한 메세지 디자인 특성에 관한 실증 연구,-,어문,문서,-,정책,한국어,-,2024-07-02 00:00:00,이용허락동의서,한국지능정보사회진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2094-07-02 00:00:00,-,-
,4,어문,간행물,한국지능정보사회진흥원,NIA 한국지능정보사회진흥원,HOME > 지식정보 > 간행물 > 정보화정책저널,"[제31권 제2호] 온라인 콘텐츠 구독 서비스 이용에 대한 연구: 디지털 리터러시, 제품 구매 성향, 성격 유형, 이용 경험을 중심으로",-,2024-07-02 00:00:00,1,미부착,제1유형,유,-,"[제31권 제2호] 온라인 콘텐츠 구독 서비스 이용에 대한 연구: 디지털 리터러시, 제품 구매 성향, 성격 유형, 이용 경험을 중심으로",-,어문,문서,-,정책,한국어,-,2024-07-02 00:00:00,이용허락동의서,한국지능정보사회진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2094-07-02 00:00:00,-,-
,5,어문,간행물,한국지능정보사회진흥원,NIA 한국지능정보사회진흥원,HOME > 지식정보 > 간행물 > 정보화정책저널,[제31권 제1호] ChatGPT는 우리에게 어떤 우려를 초래하는가?: 유튜브 영상 뉴스 댓글의 CTM(Correlated Topic Modeling) 분석을 중심으로,-,2024-03-31 00:00:00,1,미부착,제1유형,유,-,[제31권 제1호] ChatGPT는 우리에게 어떤 우려를 초래하는가?: 유튜브 영상 뉴스 댓글의 CTM(Correlated Topic Modeling) 분석을 중심으로,-,어문,문서,-,정책,한국어,-,2024-03-31 00:00:00,이용허락동의서,한국지능정보사회진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2094-03-31 00:00:00,-,-
,6,어문,간행물,한국지능정보사회진흥원,NIA 한국지능정보사회진흥원,HOME > 지식정보 > 간행물 > 정보화정책저널,[제31권 제1호] 가상현실 에이전트 외국어 교사를 활용한 외국어 학습의 몰입 융합 효과,-,2024-03-31 00:00:00,1,미부착,제1유형,유,-,[제31권 제1호] 가상현실 에이전트 외국어 교사를 활용한 외국어 학습의 몰입 융합 효과,-,어문,문서,-,정책,한국어,-,2024-03-31 00:00:00,이용허락동의서,한국지능정보사회진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2094-03-31 00:00:00,-,-
,7,어문,간행물,한국지능정보사회진흥원,NIA 한국지능정보사회진흥원,HOME > 지식정보 > 간행물 > 정보화정책저널,[제31권 제1호] 새로운 사회계약과 디지털 권리장전: 정치·사회적 맥락과 제도화를 중심으로,-,2024-03-31 00:00:00,1,미부착,제1유형,유,-,[제31권 제1호] 새로운 사회계약과 디지털 권리장전: 정치·사회적 맥락과 제도화를 중심으로,-,어문,문서,-,정책,한국어,-,2024-03-31 00:00:00,이용허락동의서,한국지능정보사회진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2094-03-31 00:00:00,-,-
,8,어문,간행물,한국지능정보사회진흥원,NIA 한국지능정보사회진흥원,HOME > 지식정보 > 간행물 > 정보화정책저널,[제31권 제1호] 과학기술 공공연구조직의 연구행정 효율성: 전산시스템 고도화와 직무소진에 대한 탐색적 이해,-,2024-03-31 00:00:00,1,미부착,제1유형,유,-,[제31권 제1호] 과학기술 공공연구조직의 연구행정 효율성: 전산시스템 고도화와 직무소진에 대한 탐색적 이해,-,어문,문서,-,정책,한국어,-,2024-03-31 00:00:00,이용허락동의서,한국지능정보사회진흥원,-,-,-,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,-,2094-03-31 00:00:00,-,-
