대구광역시청 공공저작물 권리확인 요청 목록 (단순데이터),,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2005년 7월 ~ 12월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2006년 1월 ~ 12월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
3,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2007년 1월 ~ 6월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
4,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2007년 7월 ~ 12월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
5,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2008년 1월 ~ 6월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
6,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2008년 7월 ~ 12월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
7,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2009년 1월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
8,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2009년 2월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
9,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2009년 3월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
10,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2009년 4월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
