대구광역시청 공공저작물 권리확인 요청 목록 (연계 권장),,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,(정보)일차 의료 한의 방문진료사업 시범 실시,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=528567,2021-08-30,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
2,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,(정보)장애인 재활을 위한 경북권역재활병원 개원,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=503794,2021-03-29,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
3,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,(정보)학대피해아동 '즉시 분리제도' 도입,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=488998,2020-12-15,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
4,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,"(정보)미혼부 자녀 출생신고전이라도 아동수당, 보육료 및 가정양육수당 지급",https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=480542,2020-10-19,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
5,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,(정보)아동을 위한 공공 보호체계 본격 실행,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=478369,2020-10-05,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
6,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,(정보)코로나19 재확산 대비 취약계층 돌봄 강화,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=474907,2020-09-08,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
7,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,"(정보)아동급식카드, 제한품목 외에는 모두 사용가능하게 바뀐다.",https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=466276,2020-07-21,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
8,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,(정보)이제 전국 어느 치매안심센터든 이용하실 수 있습니다!,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=466024,2020-07-21,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
9,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,(정보)월 최대 30만 원 받는 장애인연금&amp;lt;기초급여액&amp;gt; 수급자 확대된다,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=437761,2020-01-21,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
10,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,(정보)내년1월부터 당뇨병 의료기기 의료보험 된다,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=430068,2019-11-18,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
