안성시청 공공저작물 권리확인 요청 목록 (단순데이터),,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성3.1운동기념관 자원봉사자 모집(도슨트 활동),https://www.anseong.go.kr/portal/recruitment/notice/list.do?mId=0205030100&token=1681802762797,2018-04-27 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
2,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성3.1운동기념관 자원봉사자 모집(교육·행사 활동),,2018-04-27 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
3,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성3.1운동기념관 자원봉사자 모집(환경정리활동),,2018-04-27 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
4,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성3.1운동기념관 자원봉사자 모집(홍보기자단),,2018-04-27 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
5,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성맞춤박물관 초등방학교육 『박물관으로 답사를 떠나요!』 참가자 모집,,2018-07-24 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
6,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"선착순 2019년 상반기 오감발달 창의건강교실 참여자 모집(보건소, 6~12개월 영유아반)",,2019-02-18 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
7,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"선착순 2019년 상반기 오감발달 창의건강교실 참여자 모집(보건소, 13~24개월 영유아반)",,2019-02-18 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
8,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"선착순 2019년 상반기 오감발달 창의건강교실 참여자 모집(공도건강생활지원센터, 6~12개월 영유아반)",,2019-02-18 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
9,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,"선착순 2019년 상반기 오감발달 창의건강교실 참여자 모집(공도건강생활지원센터, 13~24개월 영유아반)",,2019-02-18 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
10,안성시청,HOME > 참여소통 > 모집공고 > 모집공고,모집공고,선착순 안성3.1운동기념관 자원봉사자 모집(도슨트 활동),,2019-02-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
