강진군청 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,국립국어연구원 표준국어대사전 누리집(홈페이지) 바로가기,https://www.gangjin.go.kr/www/communication/writing/public_lang,2022-06-15 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,저작물성 없음,
2,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2022-07-21 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
3,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2022-07-28 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
4,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2022-08-04 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
5,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2022-08-18 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
6,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2022-08-25 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
7,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2022-09-01 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
8,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2022-09-09 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
9,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2022-09-15 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
10,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2022-09-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
