국립대전현충원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,SNS매체가 있나요?,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36796&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 17:56:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
2,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,참여할만한 문화행사가 있나요?,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36797&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 17:56:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
3,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,사진 찍기 좋은 곳이 있나요?,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36798&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 17:56:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
4,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,홈페이지 사이버참배에 사진을 올리고 싶어요.,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36799&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 17:56:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
5,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,국립대전현충원을 알고 싶어요.,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36800&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 17:57:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
6,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,산책코스를 알고 싶어요.,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36801&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 17:57:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
7,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,"돗자리, 제사상, 우산, 유모차를 빌리고 싶어요.",https://www.dnc.go.kr/_prog/_board/?mode=V&no=36802&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 17:58:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
8,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,휠체어를 이용하고 싶어요.,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36803&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 17:58:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
9,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,방문객용 식당이 있나요?,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36804&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 17:59:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
10,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,도시락을 먹을 수 있나요?,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36805&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 17:59:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
