국립무형유산원 공공저작물 권리확인 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 홈페이지 방문을 환영 합니다.,https://www.nihc.go.kr/planweb/board/list.9is?contentUid=ff8080816f40a80f016f7eaae4ff0d53&boardUid=ff8080816ea155f3016ea158173d0011,2012-08-29 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,‘2012 무형문화유산보호’ 국제회의 개최,,2012-10-08 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
3,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,중요무형문화재 작고 및 명예보유자 무형유산자료 기탁식,,2012-12-11 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
4,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,"문화재청, 중요무형문화재 전승자 신년인사회 개최",,2013-01-29 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
5,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원설립추진단 서울사무소 오픈,,2013-02-15 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,
6,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2013년 중요무형문화재 전승자 주관 전승활동 상반기 지원 재안내,,2013-03-06 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
7,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 건물동 명칭 선정결과 발표,,2013-05-03 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
8,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 무형유산지기 모집,,2013-05-14 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
9,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2013년 중요무형문화재 공개행사 달력 안내,,2013-05-29 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
10,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,단오 절기 맞아 중요무형문화재 6월 공개행사 풍성,,2013-05-31 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
11,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2013년 하반기 전승자 주관 전승활동 지원 안내,,2013-06-02 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
12,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2013년 무형유산지기 선정자 공고,,2013-07-01 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
13,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,"2013년 중요무형문화재 기,예능 공개행사 지원 안내",,2013-07-15 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
14,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,<2013 이수자 전승활동 지원> 사업 참가자 공모,,2013-07-16 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
