국립해양문화재연구소 공공저작물 권리확인 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 홈페이지가 개통되었습니다.,https://www.seamuse.go.kr/news/notice/list/1,2012.09.13,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2012년 국제학술대회 개최 - 동아시아 표해록과 표류의 문화사 -,,2012.10.08,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
3,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,"태안 마도 3호선, 원안해수욕장 수중발굴조사 보고서 업데이트",,2012.12.26,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
4,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,해양문화재 제5호 업데이트,,2012.12.26,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
5,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 제5기 자원봉사자 모집,,2013.03.06,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
6,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,『해양문화재』제6호 일반원고 모집 공고,,2013.04.02,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
7,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,반구대 암각화 관련 부셰나키 유네스코 특별자문관 동아일보 기고문,,2013.06.13,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
8,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,[모집] 2013년 어린이 해양문화 체험교실,,2013.07.08,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
9,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,[모집] 2014년 국립해양문화재연구소 문화유산 강좌 수강생 모집,,2014.03.07,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
10,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2014년 어린이 해양문화 체험교실 교육생 모집,,2014.07.16,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
11,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제2전시실 임시 폐쇄 안내,,2014.08.01,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
12,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2014년 국제학술대회 개최 - 중세 동아시아의 해상교통과 조세 운송 체계,,2014.09.11,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
13,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,어린이해양문화체험관 임시 폐관 안내,,2014.12.05,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
14,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2015년 제24기 바다문화학교 수강생 모집,,2015.04.02,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
15,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,주니어 도슨트 <도전! 마린해설사>모집,,2015.05.01,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
16,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,"2015년 어린이날 행사 ""해양문화재와 함께하는 마법의 세계""",,2015.05.01,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
17,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,"국립해양문화재연구소, 땅끝 마을 해남군으로 찾아간다",,2015.05.28,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
