중소벤처기업연구원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,," 1: 공공누리 1유형, 2: 공공누리 2유형, 3:공공누리 3유형, 4:공공누리4유형",,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일/출판일/발행년도,연구책임자/작성자/발행기관,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고,비고
1,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,	[중소기업연구원] e-Letter 제1호 (2012.12.4.),https://www.kosi.re.kr/kosbiWar/front/functionDisplay?menuFrontNo=256848450893975928775097275391423920162&menuFrontURL=/front/webZineList,2012,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
2,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제1호 (2012.12.4.),,2012,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
3,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제2호 (2012.12.18.),,2012,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
4,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제3호 (2013.01.08.),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제4호 (2013.01.22.),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
6,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제5호 (2013.02.05.),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
7,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제6호 (2013.02.19),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
8,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제7호 (2013.03.05),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
9,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제8호 (2013.03.19),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
10,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제9호 (2013.04.01),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
11,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제10호 (2013.04.16),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
12,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제11호 (2013.04.30),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
13,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제12호 (2013.05.14),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
14,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제13호 (2013.05.28),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
15,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제14호 (2013.06.11),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
16,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제15호 (2013.06.25),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
17,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제16호 (2013.07.09),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
18,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제17호 (2013.07.23),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
19,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제18호 (2013.08.06),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
20,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제19호 (2013.08.20),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
21,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제20호 (2013.09.03),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
