한국영상자료원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,부제,URL,기간/등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,1.0,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,50년대 스크린을 사로잡은 스타: 이민,돌아온 사나이/모정/비오는 날의 오후세시/자유부인/촌색씨총 5 편,https://www.koreafilm.or.kr/cinematheque/programs,2002.03.04.월 ~ 03.08.금,,미부착,,개방 가능,공공누리 1유형,,,,,O,,,"모정(1958,VOD), 촌색시(1958년), 자유부인(1956년), 돌아온사나이(1960년), 비오는날의오후세시(1959년, VOD), 저작권 보호기간 만료",
2,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,외국인을 위한 영화감상회,길소뜸 Gilsotteum/내시 Eunuch/독짓는 늙은이 Old Man Making a Jar/마부 A coachman/은마는 오지 않는다 The Silver Stallion Will Never Come/자유부인 Madam Freedom총 6 편,,2002.03.09.토 ~ 06.15.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"자유부인(1956년), 길소뜸(1985년),마부(1961년),독짓는늙은이(1969년), 내시(1968년), 은마는 오지 않는다(1991년,예고편)",
3,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"한국영화의 세계화, 집념의 영화작가: 정진우",무궁화꽃이 피었습니다/뻐꾸기도 밤에 우는가/섬개구리 만세/초연/하숙생총 5 편,,2002.03.18.월 ~ 03.22.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"정진우작가 자품-초연, 하숙생, 섬개구리만세, 뻐꾸기도밤에 우는가, 무궁화꽃이 피었습니다.",
4,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,탄탄한 역기력의 무게있는 배우: 한은진,까치소리/로맨스그레이/씨받이/아들 딸 찾아 천리길/연산군(장한사모편)총 5 편,,2002.04.01.월 ~ 04.06.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"연산군(1961), 로맨스그래이(1963), 아들딸찾아천리길(1971),씨받이(1986), 까치소리(1967)",
5,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,이산의 아픔을 영상예술로 승화시킨: 안현철,남이장군/사명당/열두 여인/윤심덕/주유천하총 5 편,,2002.04.15.월 ~ 04.19.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"주유천하(1962, vod), 윤심덕(1969), 남이장군(1964), 열두여인(1971), 사명당(1963)",
6,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,열정과 야망을 내재한 유도 8단의 투사: 윤양하,마유미/뻐꾸기도 밤에 우는가/일송정 푸른솔은/임진란과 계월향(임진왜란과 계월향)/초대받은 성웅들총 5 편,,2002.05.06.월 ~ 05.10.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"일송정 푸른솔은(1983), 초대받은성웅들(1984), 뻐구기도 밤에우는가(1980), 임진란과 계월향(1977), 마유미(1990,예고편 포함)",
7,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,충무로 신사: 김응천,고교 우량아/모모는 철부지/제갈 맹순이/진아의 편지/푸른 교실총 5 편,,2002.05.20.월 ~ 05.24.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"진아의 편지(1974), 모모는 철부지(1979), 제갈맹순이(1978), 푸른교실(1976),고교 우랑아(1977)",
8,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,주증녀 이야기,고려장/고발/그 여자의 죄가 아니다/산불/옥비녀총 5 편,,2002.06.03.월 ~ 06.08.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"산불(1967), 그 여자의 죄가아니다(1959), 옥비녀(1968),고발(1967),고려장(1963)",
9,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"반공 군사 영화의 신화, 영화 감독: 설태호",깊고 깊은 그곳에/에미의 들/원산공작/캐논청진공작/특별수사본부 기생 김소산총 5 편,,2002.06.17.월 ~ 06.21.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"특별수사본부(1973), 캐논청진공작(1977),에미의들(1992),깊고깊은그곳에(1984),원산공작(1976)",
10,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"터프한 충무로의 젠틀맨, 50~70년대의 멋쟁이: 김석훈",고개를 넘으면/동심초/두만강아 잘 있거라/민검사와 여선생/의적 일지매총 5 편,,2002.07.08.월 ~ 07.12.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"고개를 넘으면(1959),동심초(1959),의적일지매(1961),민검사와여선생(1966),두만강아잘있거라(1962)",
