한국지역정보개발원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,[전자신문]개인정보보호 종합대책,https://www.klid.or.kr/open/bbs.do?PID=notice,2008-03-21 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
2,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,정보화추진위 `전자정부` 주도,,2008-04-17 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
3,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,정보화마을 워크숍 27~28일 개최,,2008-06-26 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
4,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,세계 전자정부 시장 포럼 서울에서 개최,,2008-07-04 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
5,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"제주, 지리정보시스템 전국 최고 영예",,2008-06-19 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
6,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"광주시, 정보화예산 46% 증액 편셩",,2008-06-20 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
7,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"부산시, 자치정보화 창의발전 연찬회 열어",,2008-06-24 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
8,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,서울시 3년 연속 전자 정부 세계 1위,,2008-06-27 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
9,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"전북, 지방행정정보통신 연찬회 개최",,2008-07-04 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
10,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,제1회 개인정보관리관(CPO) 워크숍 개최,,2008-07-14 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
11,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,정보화 관련 법안 손질 가속화,,2008-07-17 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
