철도산업정보센터 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,프랑스 휘브릴사(Fives Lile)가 경의선 부설권을 얻다,http://www.kric.go.kr/jsp/board/portal/sub06/intergrateTableList.jsp,1899-07-03,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,대한철도회사가 경의선 부설권을 얻다,,1899-07-08,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
3,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,궁내부 내장원에 서북철도국 설치,,1899-09-13,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
4,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,경인선(노량진 ~ 제물포) 33.2km 개통,,1899-09-18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
5,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,경인선 노량진-제물포간 개통으로 영업개시,,1899-09-18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
6,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,축현역(杻峴驛)으로 영업개시,,1899-09-18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
7,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,경인철도(현재 경인선) 개통과 함께 영업 개시,,1899-09-18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
8,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,소사역(素砂驛)으로 영업개시,,1899-09-18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
9,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,경인선 개통으로 영업 개시,,1899-09-18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
10,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1899-09-18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
11,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,정부기관인 내장원(內藏院)에 서부철도국을 두고 서울-개성 간 선로 측량을 시작,,1900-00-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
12,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,한강교량 준공,,1900-07-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
13,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,경성역으로 영업개시,,1900-07-08 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
14,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1900-07-08 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
15,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,착공,,1901-08-21 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
16,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,기공,,1902-00-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
17,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,러일전쟁으로 일본이 서울-신의주 간 군용철도를 부설하기 위해 임시군용철도감부를 설치,,1904-00-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
18,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,용산-개성 구간의 노반공사 착수,,1904-03-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
19,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1904-04-04 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
