한국보육진흥원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,"한국보육진흥원, 윤리인권경영 실천주간 성황리에 종료",https://www.kcpi.or.kr/kcpi/openmag/ethicsmng.do,2024-06-13 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
2,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,[공직기강] 선거철 대비 정치적 중립 위반 사례 안내,,2024-04-01 00:00:00,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
3,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,[공직기강] 선거철(4.1.~4.10.) 청렴주의보 발령,,2024-04-01 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,외부이미지포함(포스터),
4,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,공익신고자보호법 개정 내용 안내('24.2.27.),,2024-03-26 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
5,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,[공직기강] 설 명절 및 연휴(2.9.~2.12.) 청렴주의보 발령,,2024-02-01 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
6,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2023년 한국보육진흥원 인권영향평가 결과,,2024-01-10 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
7,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2022년 한국보육진흥원 인권영향평가 결과,,2023-04-13 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
8,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,KCPI와 똑! 소리나게 알아보는 이해충돌방지법,,2022-10-26 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
9,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,KCPI와 똑! 소리나게 알아보는 부패·공익신고자 보호,,2022-10-25 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
10,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,[신고자보호법] 부패ㆍ공익신고자 보호제도 홍보자료,,2022-08-30 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
