세종학당재단 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종한국어평가 시스템 운영 및 유지관리 (긴급공고) (재공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006186&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
2,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 모바일 말하기 평가 앱 개발 및 운영 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006185&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
3,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종한국어평가 국제통용 평가 기준 연구 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006183&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
4,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종한국어평가(SKA) 자동 출제·채점 연구 및 적용 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006181&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
5,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종학당 외국인 현지교원 한국어교육 컨설팅 (재공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006171&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
6,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종학당 문화인턴 파견사업 운영 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006157&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
7,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종한국어평가 시스템 운영 및 유지관리 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006156&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
8,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 한국어 예비교원 국외 실습 지원 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006121&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
9,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종한국어평가(SKA) 출제시스템 구축 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006119&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
10,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종학당 운영평가 및 현장점검 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006079&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
11,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세계한국어교육자대회 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006072&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
12,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당재단 교원연수시스템 운영 방향 수립 연구 (재공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006062&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
13,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 교육자료 디자인 재편집 및 다국어판 추가 개발 (긴급공고) (취소공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006061&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
14,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종학당 한국어교원 양성과정 운영 지원 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006060&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
15,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종학당 외국인 현지교원 한국어교육 컨설팅 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006056&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
16,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024 세종학당 지역별 워크숍 운영 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006055&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
17,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 비즈니스 한국어 교재 재개발 (재공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006051&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
18,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 교원용 교수학습 보조자료 개발 (재공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006035&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
19,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종문화아카데미 운영 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006033&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
20,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 교육자료 디자인 재편집 및 다국어판 추가 개발 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006032&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
21,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 파견교원 현지어 학습 지원 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006021&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
22,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종학당 성취도 평가 운영 (재공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006016&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
23,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종학당 케이(K)-콘텐츠 개발 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006015&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
24,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종한국문화 교재 재개발 (긴급공고) (재공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006009&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
25,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당재단 교원연수시스템 운영 방향 수립 연구,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006007&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
26,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 통번역과정 교원 양성 콘텐츠 개발 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006006&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
27,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 교원용 교수학습 보조자료 개발 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006005&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
28,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 단계적 적응형 세종한국어평가 개발 및 분석 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006004&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
29,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종학당 통번역 과정 현지 시범운영 (긴급공고) (재공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006003&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
30,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종한국어평가(SKA) 시행 결과 분석,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000006002&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
31,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 학문 목적 한국어 교육과정 연구,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005999&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
32,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종한국어평가(SKA) 시행 및 운영 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005982&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
33,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 해외 한국어교원 전문 채점자 양성과정 운영 및 채점 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005981&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
34,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종학당재단 홍보자료 제작 및 배포 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005980&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
35,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종한국어평가(SKA) 출제,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005979&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
36,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종학당 성취도 평가 운영 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005978&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
37,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 비즈니스 한국어 교재 재개발,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005977&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
38,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종한국문화 교재 재개발 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005976&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
39,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종학당 통번역 과정 현지 시범운영 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005974&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
40,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,2024년 세종학당재단 연간 발주계획 공고,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005936&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
41,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 해외 긴급 안전관리 서비스 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005935&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
42,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 파견교원 사업 운영 관련 노무 지원,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005884&bbsId=BBSMSTR_000000000201&pageIndex=1,2024,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
43,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 온라인 세종학당 교육과정 운영 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005791&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
44,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 누리소통망(SNS) 기반 콘텐츠 보급 및 운영 활성화 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005741&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
45,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 세종학당 통합업무관리시스템 운영·유지관리 및 기능 보완 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005739&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
46,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,"[입찰공고] 2024년 세종학당재단 온라인 서비스 통합 운영, 유지관리 및 서비스 개선 (긴급공고)",https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005728&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
47,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 메타버스 세종학당 운영 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005727&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
48,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 상반기 국외 파견 한국어 교원 선발 및 교육 지원 용역 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005723&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
49,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2023년 세종학당재단 한국어 파견 인턴 교원 설명회 운영 용역,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005696&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
50,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2023 찾아가는 세종문화아카데미 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005678&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
51,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[견적공고] 2023년 세종문화아카데미 사업비 정산 사업,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005662&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
52,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 한국어 교육자료 명칭 현행화 및 디자인 재편집,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005658&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
53,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 해외 거점 세종학당 지도 점검 용역 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005631&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
54,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 최신 정보기술 분석 및 세종학당 교육 적용 방안 연구,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005535&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
55,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 단계적 적응형 세종한국어평가 시스템 고도화 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005534&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
