한국문화예술교육진흥원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,해바라기작은도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000002036,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
2,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,실버작은도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000002033,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
3,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,미술달작은도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000001977,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
4,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,초록마을작은도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000001607,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
5,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,설문대어린이도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000001603,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
6,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,신원동 울타리 작은도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000001484,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
7,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,지치울작은도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000001475,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
8,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,봉아름작은도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000001474,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
9,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,예품작은도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000001403,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
10,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,보물섬,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000001386,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
11,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,한국소비자원 정보자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011358,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
