진주시청 공공저작물 권리확인 요청 목록 (대표홈페이지),,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,진주시청,HOME > 진주소개 > 기본현황 > 상징물,상징물,시의기,https://www.jinju.go.kr/00135/01109/01133.web,,,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,기관 CI 등,
2,진주시청,HOME > 진주소개 > 기본현황 > 상징물,상징물,시의캐릭터,https://www.jinju.go.kr/00135/01109/01134.web,,,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,기관 CI 등,
3,진주시청,HOME > 진주소개 > 기본현황 > 상징물,상징물,시의브랜드,https://www.jinju.go.kr/00135/01109/04210.web,,,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,기관 CI 등,
4,진주시청,HOME > 진주소개 > 기본현황 > 상징물,상징물,시민의노래,https://www.jinju.go.kr/00135/01109/01137.web,,,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,기관 CI 등,
5,진주시청,HOME > 진주소개 > 기본현황 >관광캐릭터,관광캐릭터,하모,https://www.jinju.go.kr/00135/01109/06747.web,,,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,기관 CI 등,
6,진주시청,HOME > 진주소개 > 기본현황 > 진주의노래,진주의노래,진주의노래,https://www.jinju.go.kr/00135/01109/01138.web,,,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,기관 CI 등,
7,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,"2024년 진주시 전국민 마음투자 지원 서비스 이용자 모집 안내
									
									
										새 글",https://www.jinju.go.kr/00130/02730/00136.web?gcode=4118&idx=39565398&amode=view&extParam=notice&cpage=1,2024-07-02,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
8,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,"진주시정신건강복지센터 근로자 채용 공고
									
									
										새 글",https://www.jinju.go.kr/00130/02730/00136.web?gcode=4118&idx=39565396&amode=view&extParam=notice&cpage=1,2024-07-02,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
9,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,"2024년 상평복합문화센터 문화공연 안내    ―    창작매직컬「명화배달부」―
									
									
										새 글",https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39565370&amode=view&extParam=notice&cpage=1,2024-07-01,유,1유형,,내부확인 필요,공공누리 2~4유형,,,,O,,,,첨부파일 내 공연사진 포함,
10,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,"(재)진주시복지재단 직원(사무총장) 채용 공고
									
									
										새 글",https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39565281&amode=view&extParam=notice&cpage=1,2024-07-01,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
