[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,pdf페이지,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,국회전자도서관,소장자료,국회기록사진첩_vol1_001.jpg,3,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
2,국회전자도서관,소장자료,국회기록사진첩_vol1_002.jpg,3,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
3,국회전자도서관,소장자료,국회기록사진첩_vol1_003.jpg,4,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
4,국회전자도서관,소장자료,국회기록사진첩_vol1_004.jpg,4,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
5,국회전자도서관,소장자료,국회기록사진첩_vol1_005.jpg,5,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
6,국회전자도서관,소장자료,국회기록사진첩_vol1_006.jpg,5,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
7,국회전자도서관,소장자료,국회기록사진첩_vol1_007.jpg,6,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
8,국회전자도서관,소장자료,국회기록사진첩_vol1_008.jpg,6,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
9,국회전자도서관,소장자료,국회기록사진첩_vol1_009.jpg,7,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
10,국회전자도서관,소장자료,국회기록사진첩_vol1_010.jpg,8,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
