[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판진입과정,게시판명,게시물 제목,URL,등록일,기사 수량,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2003년 3·4월),https://archives.nanet.go.kr/search/coPublInfoList.do?curr_menu_cd=0103040000,2003년 3·4월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
2,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2003년 1·2월),,2003년 1·2월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
3,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2002년 11·12월),,2002년 11·12월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
4,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2002년 9·10월),,2002년 9·10월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
5,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2002년 7·8월),,2002년 7·8월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
6,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2002년 5·6월),,2002년 5·6월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
7,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2002년 3·4월),,2002년 3·4월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
8,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2002년 1·2월),,2002년 1·2월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
9,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2001년 11·12월),,2001년 11·12월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
10,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2001년 9·10월),,2001년 9·10월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
11,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2001년 7·8월),,2001년 7·8월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
12,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2001년 5·6월),,2001년 5·6월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
13,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2001년 3·4월),,2001년 3·4월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
14,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2001년 1·2월),,2001년 1·2월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
15,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2000년 11·12월),,2000년 11·12월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
16,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2000년 9·10월),,2000년 9·10월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
17,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2000년 7·8월),,2000년 7·8월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
18,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2000년 5·6월),,2000년 5·6월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
19,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2000년 3·4월),,2000년 3·4월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
20,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(2000년 1·2월),,2000년 1·2월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
21,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1999년 11·12월),,1999년 11·12월,18,미부착,,개방 가능,공공누리 1유형,,,O,,,,,지침에 따라 논문의 저작권이 국회도서관에 있음이 명시,
22,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1999년 9·10월),,1999년 9·10월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
23,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1999년 7·8월),,1999년 7·8월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
24,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1999년 5·6월),,1999년 5·6월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
