[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,URL,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,생산기관
1,국회기록보존소,국회연표,임시정부 상해 청사,archives.nanet.go.kr/assemblyHistory/assmCurrentStateList.do?curr_menu_cd=0101020000,1919.04.11,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,미상
2,국회기록보존소,국회연표,독립공채(100원),,1919.11.21,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,미상
3,국회기록보존소,국회연표,대한민국 임시약헌,,1927.04.11,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,미상
4,국회기록보존소,국회연표,상해-외탄,,1932.05.05,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,미상
5,국회기록보존소,국회연표,한국독립당 제1차 중앙집감위원,,1940.05.09,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,미상
6,국회기록보존소,국회연표,카이로회의 참석 수뇌 사진,,1943.11.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,미상
7,국회기록보존소,국회연표,중앙청에서 내려지는 일장기,,1945.08.15,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
8,국회기록보존소,국회연표,상해에 도착한 임시정부 요인들,,1945.11.23,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,미상
9,국회기록보존소,국회연표,제헌국회의원 기념촬영 사진,,1948.05.31,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
10,국회기록보존소,국회연표,개회사를 하고 있는 이승만 국회의장 사진,,1948.05.31,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
11,국회기록보존소,국회연표,이승만의원과 장면의원 사진,,1948.05.31,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
12,국회기록보존소,국회연표,역사적인 제헌국회 개원 사진,,1948.05.31,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
13,국회기록보존소,국회연표,제헌국회의원 장기영 사진,,1948.06.02,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
14,국회기록보존소,국회연표,제헌국회의원 서상일 사진,,1948.06.08,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
15,국회기록보존소,국회연표,제헌국회의원 서정희 사진,,1948.06.08,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
16,국회기록보존소,국회연표,제헌국회의원 이윤영 사진,,1948.06.08,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
17,국회기록보존소,국회연표,의장단과 헌법기초의원들 사진,,1948.07.12,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
18,국회기록보존소,국회연표,"이승만 국회의장과 신익희 부의장, 김동원 부의장 사진",,1948.07.12,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
19,국회기록보존소,국회연표,건국헌법에 서명하는 이승만 국회의장 사진,,1948.07.17,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
20,국회기록보존소,국회연표,초대 대통령 선거 사진,,1948.07.20,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
