[국회도서관] 공공저작물 권리확인 요청 목록 (월간 국회도서관),,,,,,,,,,,,,,,,,,,
순번,사이트명,게시물 제목,url,발행년,저자,발행처,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,국회전자도서관,ソ聯邦に於ける敎育改革と敎育思想,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198013267,1942,吉田熊次 著,.傍書房,미부착,,검토 불가,검토 불가,,O,,,,,,해외 자료,* 해외 출판도서 권리확인 제외 요청
2,국회전자도서관,ソ聯邦に於ける敎育改革と敎育思想,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198013267,1942,吉田熊次 著,.傍書房,미부착,,검토 불가,검토 불가,,O,,,,,,해외 자료,* 해외 출판도서 권리확인 제외 요청
3,국회전자도서관,京城府史. 第2卷,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3199900399,1936,京城府 編,［京城府］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
4,국회전자도서관,(朝鮮)高等法院刑事判決錄. 4-9,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198009493,1917,朝鮮高等法院書記課 編,［高等法院］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
5,국회전자도서관,泰西新史攬要. 1-8,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1199813897,1895,馬懇西 著 ; 李提摩太 譯 ;蔡爾康 述稿,［廣學會］,미부착,,검토 불가,검토 불가,,O,,,,,,해외 자료,* 해외 출판도서 권리확인 제외 요청
6,국회전자도서관,國會前史,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1199500299,1900,백상건,［국회］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
7,국회전자도서관,國會議事速記錄. 卷之4-5,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1201251707,1948,[국회],[국회도서관],미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
8,국회전자도서관,國會議事速記錄. 卷之1-3,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1201246432,1948,[국회],[국회도서관],미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
9,국회전자도서관,國會議事速記錄. 卷之6-7,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1201246438,1949,[국회],[국회도서관],미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
10,국회전자도서관,國會議事速記錄. 卷之10,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1201251710,1949,[국회],[국회도서관],미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
11,국회전자도서관,國會議事速記錄. 卷之8-9,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1201251709,1949,[국회],[국회도서관],미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
12,국회전자도서관,國會議事速記錄. 卷之13-14,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1201252345,1950,[국회],[국회도서관],미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
13,국회전자도서관,國會議事速記錄. 卷之11-12,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1201246501,1950,[국회],[국회도서관],미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
14,국회전자도서관,三才圖會 : 地理. 1-4,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3200304033,16uu,王圻(明) 纂集 ; 王思義(明) 校正,[國會圖書館],미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
15,국회전자도서관,英國下院議事通則,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1200525791,1948,국회민의원사무처,[국회민의원사무처],미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
16,국회전자도서관,南朝鮮勞動統計調査結果報告,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198004114,1948,南朝鮮過渡政府勞動部統計室 編,［南朝鮮過渡政府勞動部］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
17,국회전자도서관,"現行各國地方自治法 : 佛蘭西, 西獨 編",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198010408,1900,內務部,［內務部］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
18,국회전자도서관,視聽覺敎育의 理論,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198011900,1900,農林部地域 社會局 編,［農林部地域社會局］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
19,국회전자도서관,"豫算決算資料. 第1, 2輯",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198024919,1951,日本大藏省主計局 編,［大藏省主計局］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
20,국회전자도서관,中央財政機關沿革一覽表,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198010512,1910,韓國度支部 編,［度支部］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
21,국회전자도서관,韓國財務經過報告. 第4回,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198007976,1909,荒井賢太郞 編,［度支部］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
22,국회전자도서관,朝鮮土木法規,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198004685,1920,,［발행사불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
23,국회전자도서관,關稅逋脫과 無免許輸出,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198005374,1900,李永鎬 著,［발행사불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
24,국회전자도서관,朝鮮經濟史,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198005006,1928,猪谷善一 著,［발행사불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
25,국회전자도서관,朝鮮産業政策硏究要綱,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3199311912,1927,賀田直治 著,［발행사불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
26,국회전자도서관,증남포 목포 각국죠계쟝졍,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1199413141,1897,,［발행자불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
