NIA 한국지능정보사회진흥원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공지] 2009년도 정보시스템 감리사 자격검정 시행 공고,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=455,20090522,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
2,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,정보시스템 감리점검가이드,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=456,20090529,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
3,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,국가정보통신서비스 이용지침서 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=457,20090612,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가 저작물,
4,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[행사안내] 사물통신망 기술 및 전망 세미나 개최,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=458,20090618,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
5,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[행사안내] 아름다운 인터넷세상을 위한 아름누리 캠페인 행사 개최 / 6. 20(토) / 서울광장,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=459,20090618,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,외부이미지 포함(포스터),
6,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[행사안내]웹코리아 포럼 총회 및 시즌2 SOADAY 12th “Real SOA & Real Talk” 개최,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=454,20090710,무,미부착,,검토 불가,검토 불가,,O,,,,,,※ 게시물 확인 불가,
7,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공지] 2009 대한민국 IT Innovation 대상 포상계획 공고,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=453,20090713,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
8,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공지]부정당업자 제재 정지 공지,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=460,20090722,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
9,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공지]한국정보화진흥원 위탁감리관리지침개정 공지,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=461,20090817,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
10,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,(채용공고) 한국정보화진흥원 하반기 청년인턴 직원 채용 공고,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=462,20090819,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
11,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,하반기 청년인턴직원채용 전형별 일정 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3020,20090902,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
12,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,2009년 사이버범죄예방교화 전문강사 교육과정 교육생 선정결과 발표,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3022,20090902,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
13,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,제12회 정보문화포럼 개최 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3035,20090904,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
14,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[행사안내] 인터넷기반서비스의 종합적·체계적 발전을 위한 법제 개선방안 세미나 / 9월 10일(목),https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3037,20090904,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
15,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,청년인턴 직원채용 면접전형 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3032,20090904,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
16,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,"[행사등록안내] 시즌3 SOA DAY 13th 2013년, SOA를 말하다",https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3572,20090911,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
17,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[행사안내] 저탄소 녹색성장시대 [Smart Work] 국제 심포지엄 /9월29일(화),https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3596,20090918,무,미부착,,검토 불가,검토 불가,,O,,,,,,※ 게시물 확인 불가,
18,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,국가정보통신서비스 인터넷전화 이용제도 설명회 발표자료,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3666,20091013,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
19,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,홈페이지 서비스 일시중지 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3667,20091013,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
20,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,&#039;사물통신&#039; 새 명칭 공모 안내(마감),https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3692,20091022,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
21,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,인터넷중독 신규정책 공모전,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3700,20091028,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
