대구광역시 수성구청 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
1,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,중동교,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
2,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,상동교,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
3,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,화랑교,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
4,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,만촌 해피타운,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
5,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,만촌 해피타운,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
6,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,들안길 시화거리,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
7,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,들안길 시화거리,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
8,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,청구시장,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
9,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,만촌시장,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
10,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,대공원시장,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
11,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,신매시장,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
