국립극장 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
1,별별스테이지,홍보물제작,2023 국립극장 기관 홍보 인쇄물 제작,2023051462600,2023-05-31,0,0,1,미부착,개방불가,없음,
2,별별스테이지,홍보물제작,공연예술박물관 별별실감극장 홍보물 제작,2023021853902,2023-05-01,0,0,1,미부착,개방불가,없음,
3,별별스테이지,홍보물제작,2022 국립극장 연말기획공연 세 가지 선물 홍보물 제작,2022090F7D000,2022-09-29,0,0,1,미부착,개방불가,없음,
4,별별스테이지,홍보물제작,2022-2023 국립극장 레퍼토리시즌 무장애 공연틴에이지 딕 홍보물 제작,202208008EC00,2022-08-02,0,0,1,미부착,개방불가,없음,
5,별별스테이지,홍보물제작,2022 국립극장 여우락 페스티벌 인쇄홍보물 제작 계약 체결 요청,2022050911F00,2022-05-13,0,0,1,미부착,개방불가,없음,
6,별별스테이지,홍보물제작,2021-2022 국립극장 연말기획공연 명색이아프레걸 인쇄홍보물 계약체결 요청,20210907D7400,2021-09-15,0,0,1,미부착,개방불가,없음,
7,별별스테이지,홍보물제작,2021 국립창극단 신작 귀토 홍보물 디자인 및 인쇄,2021030111400,2021-03-02,0,0,1,미부착,개방불가,없음,
8,별별스테이지,홍보물제작,2020 국립극장 여우락 페스티벌 인쇄홍보물 계약요청,202005054F101,2020-05-12,0,0,1,미부착,개방불가,없음,
9,별별스테이지,홍보물제작,2020 국립창극단 신작 &#60;춘향&#62; 홍보물 제작,2020030DE4E00,2020-03-18,0,0,1,미부착,개방불가,없음,
10,별별스테이지,홍보물제작,국립창극단 레퍼토리 패왕별희 홍보물 인쇄,2019110000D00,2019-11-04,0,0,1,미부착,개방불가,없음,
11,별별스테이지,홍보물제작,2019-2020 국립극장 레퍼토리시즌 마당놀이 춘풍이 온다 인쇄홍보물 제작,2019100845A00,2019-10-15,0,0,1,미부착,개방불가,없음,
12,별별스테이지,홍보물제작,2019 국립극장 여우락 페스티벌 홍보인쇄물 제작,2019050771800,2019-05-13,0,0,1,미부착,개방불가,없음,
13,별별스테이지,홍보물제작,2019 상반기 국립극장 완창판소리 홍보물 제작,20190302A3700,2019-03-06,0,0,1,미부착,개방불가,없음,
14,별별스테이지,홍보물제작,2019 국립창극단 신작 패왕별희 홍보물 제작,20190206C0900,2019-02-15,0,0,1,미부착,개방불가,없음,
15,별별스테이지,홍보물제작,2018 하반기 국립극장 완창판소리 홍보물 제작,20181007BA300,2018-10-15,0,0,1,미부착,개방불가,없음,
16,별별스테이지,홍보물제작,2018 국립창극단 신작 우주소리 홍보물 제작,2018090BEDB00,2018-09-28,0,0,1,미부착,개방불가,없음,
17,별별스테이지,홍보물제작,2018년 국립극장 여우락 페스티벌 홍보인쇄물 제작,2018050814F00,2018-05-15,0,0,1,미부착,개방불가,없음,
18,별별스테이지,홍보물제작,2017 국립창극단 신작 산불 홍보물 제작,20170907E2100,2017-09-19,0,0,1,미부착,개방불가,없음,
19,별별스테이지,홍보물제작,2017 여우락 페스티벌 홍보인쇄물 제작,2017060F88A00,2017-06-29,0,0,1,미부착,개방불가,없음,
20,별별스테이지,홍보물제작,2017 국립무용단 신작 리진 홍보물 제작,2017050F19000,2017-05-30,0,0,1,미부착,개방불가,없음,
21,별별스테이지,홍보물제작,2017 국립창극단 레퍼토리 코카서스의 백묵원 홍보물 제작,2017050474F00,2017-05-12,0,0,1,미부착,개방불가,없음,
22,별별스테이지,홍보물제작,2017 국립창극단 신작 흥보씨 홍보인쇄물 제작,T1703171889400,2017-03-30,0,0,1,미부착,개방불가,없음,
23,별별스테이지,홍보물제작,"2016 국립무용단 레퍼토리 <Soul,해바라기> 홍보물 제작",T1610162723800,2016-10-13,0,0,1,미부착,개방불가,없음,
24,별별스테이지,홍보물제작,2016 국립무용단 레퍼토리 <묵향> 홍보물 제작,T1609161529100,2016-09-19,0,0,1,미부착,개방불가,없음,
25,별별스테이지,홍보물제작,2016 국립창극단 신작 트로이의 여인들 홍보물 제작,2016082472700,2016-08-19,0,0,1,미부착,개방불가,없음,
26,별별스테이지,홍보물제작,2016 국립극장 여우樂(락)페스티벌 홍보인쇄물 제작,2016062546100,2016-06-15,0,0,1,미부착,개방불가,없음,
27,별별스테이지,홍보물제작,국립국악관현악단 관현악시리즈1 <무위자연> 홍보인쇄물 제작,T1603153451000,2016-03-28,0,0,1,미부착,개방불가,없음,
28,별별스테이지,홍보물제작,2015 국립극장 여우락페스티벌 홍보인쇄물 제작,2015042083200,2015-04-10,0,0,1,미부착,개방불가,없음,
29,별별스테이지,홍보물제작,2015 상반기 국립극장 완창판소리 홍보인쇄물 제작,T1503133647100,2015-03-09,0,0,1,미부착,개방불가,없음,
