국립대전현충원 공공저작물 권리처리 대상 목록,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시물 제목,설명,날짜,영상,사진,문서,기존 공공누리 유형,최종 유형,계약서 유무,비고
1,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,09년 새해맞이 직원참배 및 시무식 (09. 1. 2.),,2009-01-05 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
2,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,09년 새해맞이 참배 (09. 1. 6.),,2009-01-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
3,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,09년 새해맞이 참배 (09. 1. 5.),,2009-01-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
4,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,2009년 새해맞이 참배 (09. 1. 5.),,2009-01-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
5,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,2009년 새해맞이 참배 (09. 1. 5.),,2009-01-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
6,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,2009년 새해맞이 참배 (09. 1. 5.),,2009-01-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
7,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,2009년 새해맞이 참배 (09. 1. 5.),,2009-01-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
8,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,2009년 새해맞이 참배 (09. 1. 5.),,2009-01-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
9,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,2009년 새해맞이 참배 (09. 1. 2.),,2009-01-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
10,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,2009년 새해맞이 참배 (09. 1. 2.),,2009-01-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
