한국교육개발원 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,자료명,저자,발행년,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
1,사이버교과서박물관,도서별,擊蒙要訣,이이 저,1800,0,0,1,미부착,제1유형,저작권 만료,
2,사이버교과서박물관,도서별,世界萬國年契 ,學部編輯局新撰,1894,0,0,1,미부착,제1유형,저작권 만료,
3,사이버교과서박물관,도서별,朝鮮歷史 卷二,學部編輯局 著,1895,0,0,1,미부착,제1유형,저작권 만료,
4,사이버교과서박물관,도서별,朝鮮歷史,學部編輯局 著,1895,0,0,1,미부착,제1유형,저작권 만료,
5,사이버교과서박물관,도서별,俄國略史 ,學部編輯局 輯譯,1898,0,0,1,미부착,제1유형,저작권 만료,
6,사이버교과서박물관,도서별,中日略史合編,學部編輯局,1898,0,0,1,미부착,제1유형,저작권 만료,
7,사이버교과서박물관,도서별,大韓地誌,玄采 編輯,1899,0,0,1,미부착,제1유형,저작권 만료,
8,사이버교과서박물관,도서별,波蘭國末年戰史,澁江保 著,1899,0,0,1,미부착,제1유형,저작권 만료,
9,사이버교과서박물관,도서별,算術新書 上卷,李相卨 著,1900,0,0,1,미부착,제1유형,저작권 만료,
10,사이버교과서박물관,도서별,原本備旨 大學集註 全,京城書籍業組合編輯部 編,1900,0,0,1,미부착,제1유형,저작권 만료,
11,사이버교과서박물관,도서별,中等 萬國地誌 三,玄采 著,1902,0,0,1,미부착,제1유형,저작권 만료,
12,사이버교과서박물관,도서별,農業土木敎科書,上野英三郞 著,1904,0,0,1,미부착,제1유형,저작권 만료,
13,사이버교과서박물관,도서별,大東歷史 卷十一,鄭喬 編,1905,0,0,1,미부착,제1유형,저작권 만료,
14,사이버교과서박물관,도서별,法學通論,兪星濬 著,1905,0,0,1,미부착,제1유형,저작권 만료,
15,사이버교과서박물관,도서별,大東歷史 二,鄭喬謹 著,1905,0,0,1,미부착,제1유형,저작권 만료,
16,사이버교과서박물관,도서별,大東文粹,徽文義塾編輯部 編纂,1905,0,0,1,미부착,제1유형,저작권 만료,
17,사이버교과서박물관,도서별,物權法 第一部,養正義熟 著,1906,0,0,1,미부착,제1유형,저작권 만료,
18,사이버교과서박물관,도서별,初等小學,國民敎育會 著,1906,0,0,1,미부착,제1유형,저작권 만료,
19,사이버교과서박물관,도서별,會社法,金祥演 撰述,1906,0,0,1,미부착,제1유형,저작권 만료,
20,사이버교과서박물관,도서별,萬國史記 一,玄采 著,1906,0,0,1,미부착,제1유형,저작권 만료,
21,사이버교과서박물관,도서별,萬國史記 三,玄采 譯,1906,0,0,1,미부착,제1유형,저작권 만료,
22,사이버교과서박물관,도서별,新撰小物理學,國民敎育會 著,1906,0,0,1,미부착,제1유형,저작권 만료,
23,사이버교과서박물관,도서별,高等 小學讀本,徽文義塾編輯部 編纂,1906,0,0,1,미부착,제1유형,저작권 만료,
24,사이버교과서박물관,도서별,大韓地誌 二,玄采 著,1906,0,0,1,미부착,제1유형,저작권 만료,
25,사이버교과서박물관,도서별,大韓地誌 一,,1906,0,0,1,미부착,제1유형,저작권 만료,
26,사이버교과서박물관,도서별,高等 小學讀本 卷二,徽文義塾編輯部 編纂,1906,0,0,1,미부착,제1유형,저작권 만료,
27,사이버교과서박물관,도서별,中等敎科 東國史略 下,玄변 編,1906,0,0,1,미부착,제1유형,저작권 만료,
28,사이버교과서박물관,도서별,中等 修身敎科書 一卷,徽文義塾編輯部 編纂,1906,0,0,1,미부착,제1유형,저작권 만료,
29,사이버교과서박물관,도서별,中等敎科 東國史略 全,去采 著,1906,0,0,1,미부착,제1유형,저작권 만료,
30,사이버교과서박물관,도서별,"倫理學敎科書 卷一,卷二",申海永 編述,1906,0,0,1,미부착,제1유형,저작권 만료,
31,사이버교과서박물관,도서별,新撰小物理學,國民敎育會 著,1906,0,0,1,미부착,제1유형,저작권 만료,
32,사이버교과서박물관,도서별,演說法方,安國善 著,1907,0,0,1,미부착,제1유형,저작권 만료,
33,사이버교과서박물관,도서별,初等 衛生學敎科書,安種和 譯述,1907,0,0,1,미부착,제1유형,저작권 만료,
34,사이버교과서박물관,도서별,中等 生理衛生學 全,任璟宰 譯,1907,0,0,1,미부착,제1유형,저작권 만료,
35,사이버교과서박물관,도서별,高等 小學修身書,徽文義塾編輯部 編纂,1907,0,0,1,미부착,제1유형,저작권 만료,
36,사이버교과서박물관,도서별,中等 算術敎科書 卷下,玄公廉,1907,0,0,1,미부착,제1유형,저작권 만료,
37,사이버교과서박물관,도서별,初等 小學 卷五,國民敎育會 著,1907,0,0,1,미부착,제1유형,저작권 만료,
38,사이버교과서박물관,도서별,蒙學漢文初階 全,元泳義 纂輯,1907,0,0,1,미부착,제1유형,저작권 만료,
39,사이버교과서박물관,도서별,大韓地誌,李源兢 著,1907,0,0,1,미부착,제1유형,저작권 만료,
40,사이버교과서박물관,도서별,初等 倫理學敎科書 全,安鍾和 譯述,1907,0,0,1,미부착,제1유형,저작권 만료,
41,사이버교과서박물관,도서별,初等 倫理學敎科書,安鍾和 譯述,1907,0,0,1,미부착,제1유형,저작권 만료,
42,사이버교과서박물관,도서별,大韓新地誌,張志淵 著,1907,0,0,1,미부착,제1유형,저작권 만료,
43,사이버교과서박물관,도서별,小學漢文讀本 上,?隱元泳義 纂輯,1907,0,0,1,미부착,제1유형,저작권 만료,
44,사이버교과서박물관,도서별,大韓新地誌,장지연 저,1908,0,0,1,미부착,제1유형,저작권 만료,
45,사이버교과서박물관,도서별,理科書 卷一,學部 編纂,1908,0,0,1,미부착,제1유형,저작권 만료,
46,사이버교과서박물관,도서별,御定五經百選 上,,1908,0,0,1,미부착,제1유형,저작권 만료,
47,사이버교과서박물관,도서별,大家論集,大垣丈夫 編輯,1908,0,0,1,미부착,제1유형,저작권 만료,
48,사이버교과서박물관,도서별,簡明敎育學 全,兪鈺兼 譯述,1908,0,0,1,미부착,제1유형,저작권 만료,
49,사이버교과서박물관,도서별,初等 本國歷史 全,柳瑾 著述,1908,0,0,1,미부착,제1유형,저작권 만료,
50,사이버교과서박물관,도서별,大韓新地誌坤 ,張志淵  著,1908,0,0,1,미부착,제1유형,저작권 만료,
51,사이버교과서박물관,도서별,世界殖民史,山內正瞭 原著,1908,0,0,1,미부착,제1유형,저작권 만료,
52,사이버교과서박물관,도서별,初等 小學修身書 全,柳瑾 著,1908,0,0,1,미부착,제1유형,저작권 만료,
53,사이버교과서박물관,도서별,土地測量術 ,度支部臨時財産整理局測量課 編纂,1908,0,0,1,미부착,제1유형,저작권 만료,
54,사이버교과서박물관,도서별,越南亡國史 ,梁啓超 纂,1908,0,0,1,미부착,제1유형,저작권 만료,
55,사이버교과서박물관,도서별,東洋史敎科書 全,兪鈺兼 著,1908,0,0,1,미부착,제1유형,저작권 만료,
56,사이버교과서박물관,도서별,國家思想學,鄭寅琥 譯述,1908,0,0,1,미부착,제1유형,저작권 만료,
57,사이버교과서박물관,도서별,普通敎科 漢文讀本 全,徽文館 編,1908,0,0,1,미부착,제1유형,저작권 만료,
58,사이버교과서박물관,도서별,大韓歷史,鄭寅琥 編輯,1908,0,0,1,미부착,제1유형,저작권 만료,
59,사이버교과서박물관,도서별,夢見諸葛亮,劉元杓 著,1908,0,0,1,미부착,제1유형,저작권 만료,
60,사이버교과서박물관,도서별,生理學 初卷,安愛理 編輯,1908,0,0,1,미부착,제1유형,저작권 만료,
61,사이버교과서박물관,도서별,懸吐具解 監本孟子 全,漁允迪 集編,1908,0,0,1,미부착,제1유형,저작권 만료,
62,사이버교과서박물관,도서별,中等 萬國史,兪承兼 著,1909,0,0,1,미부착,제1유형,저작권 만료,
63,사이버교과서박물관,도서별,初等 本國歷史 全,安鍾和 著,1909,0,0,1,미부착,제1유형,저작권 만료,
64,사이버교과서박물관,도서별,國朝人物志 下,安鍾和士應 會纂,1909,0,0,1,미부착,제1유형,저작권 만료,
65,사이버교과서박물관,도서별,最新 森林學 全,義進社編輯部 編,1909,0,0,1,미부착,제1유형,저작권 만료,
66,사이버교과서박물관,도서별,初等 萬國地理大要 全,安鍾和 著,1909,0,0,1,미부착,제1유형,저작권 만료,
67,사이버교과서박물관,도서별,論語集註 全,鄭雲復 集編,1909,0,0,1,미부착,제1유형,저작권 만료,
68,사이버교과서박물관,도서별,新撰 初等歷史 卷二,柳瑾 著,1910,0,0,1,미부착,제1유형,저작권 만료,
69,사이버교과서박물관,도서별,初等 歷史 卷一,柳瑾 著,1910,0,0,1,미부착,제1유형,저작권 만료,
70,사이버교과서박물관,도서별,師範敎育 西洋歷史,村川堅固 著,1910,0,0,1,미부착,제1유형,저작권 만료,
71,사이버교과서박물관,도서별,理科書 卷二,朝鮮總督府 著,1911,0,0,1,미부착,제1유형,저작권 만료,
72,사이버교과서박물관,도서별,普通學校學徒用 朝鮮語讀本 卷三,朝鮮總督府 著,1911,0,0,1,미부착,제1유형,저작권 만료,
73,사이버교과서박물관,도서별,普通學校學徒用 修身書 卷三,朝鮮總督府 著,1911,0,0,1,미부착,제1유형,저작권 만료,
74,사이버교과서박물관,도서별,新訂算術 二,,1911,0,0,1,미부착,제1유형,저작권 만료,
75,사이버교과서박물관,도서별,普通學校學徒用 漢文讀本 卷四,朝鮮總督府 著,1911,0,0,1,미부착,제1유형,저작권 만료,
76,사이버교과서박물관,도서별,普通學校學徒用 漢文讀本 卷三,朝鮮總督府 著,1911,0,0,1,미부착,제1유형,저작권 만료,
77,사이버교과서박물관,도서별,普通學校學徒用 修身書 卷四,朝鮮總督府 著,1911,0,0,1,미부착,제1유형,저작권 만료,
78,사이버교과서박물관,도서별,訂正 普通學校學徒用 朝鮮語讀本 卷八,朝鮮總督府 著,1911,0,0,1,미부착,제1유형,저작권 만료,
79,사이버교과서박물관,도서별,中等敎育 最近世界地理 上卷,三省堂編輯所 編纂,1911,0,0,1,미부착,제1유형,저작권 만료,
80,사이버교과서박물관,도서별,高等 國語讀本 卷二,朝鮮總督府 著,1911,0,0,1,미부착,제1유형,저작권 만료,
81,사이버교과서박물관,도서별,訂正 普通學校學徒用 漢文讀本 卷三,朝鮮總督府 著,1911,0,0,1,미부착,제1유형,저작권 만료,
82,사이버교과서박물관,도서별,普通學校學徒用 朝鮮語讀本 卷三,朝鮮總督府 著,1911,0,0,1,미부착,제1유형,저작권 만료,
83,사이버교과서박물관,도서별,訂正 普通學校學徒用 朝鮮語讀本 卷一,朝鮮總督府 著,1911,0,0,1,미부착,제1유형,저작권 만료,
84,사이버교과서박물관,도서별,普通學校學徒用 圖畵臨本 卷二,朝鮮總督府 著,1911,0,0,1,미부착,제1유형,저작권 만료,
85,사이버교과서박물관,도서별,道里表 全,崔南善 編修,1912,0,0,1,미부착,제1유형,저작권 만료,
86,사이버교과서박물관,도서별,高等 國語讀本 卷一,朝鮮總督府 著,1912,0,0,1,미부착,제1유형,저작권 만료,
87,사이버교과서박물관,도서별,普通學校 學徒用 理科書 卷一,朝鮮總督府 著,1912,0,0,1,미부착,제1유형,저작권 만료,
88,사이버교과서박물관,도서별,中等敎育 最近世界地理 下卷,三省堂編輯所,1912,0,0,1,미부착,제1유형,저작권 만료,
89,사이버교과서박물관,도서별,海東繹史 卷三,崔南善 編修,1912,0,0,1,미부착,제1유형,저작권 만료,
90,사이버교과서박물관,도서별,國語敎授法,朝鮮總督府 著,1912,0,0,1,미부착,제1유형,저작권 만료,
91,사이버교과서박물관,도서별,NEW SCHOOL COMPOSITION BOOK THREE,武信由太郞 著,1912,0,0,1,미부착,제1유형,저작권 만료,
92,사이버교과서박물관,도서별,普通學校 理科書 卷二,朝鮮總督府 編纂,1913,0,0,1,미부착,제1유형,저작권 만료,
93,사이버교과서박물관,도서별,普通學校 修身書 卷二,朝鮮總督府 編纂,1913,0,0,1,미부착,제1유형,저작권 만료,
94,사이버교과서박물관,도서별,文章體法 下,李鍾麟 著,1913,0,0,1,미부착,제1유형,저작권 만료,
95,사이버교과서박물관,도서별,식물학 ,安愛理 著,1913,0,0,1,미부착,제1유형,저작권 만료,
96,사이버교과서박물관,도서별,最新式 家庭簡牘,盧益亨 著,1913,0,0,1,미부착,제1유형,저작권 만료,
97,사이버교과서박물관,도서별,普通學校 習字帖 卷二,朝鮮總督府 編纂,1913,0,0,1,미부착,제1유형,저작권 만료,
98,사이버교과서박물관,도서별,普通學校 習字帖 卷一,朝鮮總督府 編纂,1913,0,0,1,미부착,제1유형,저작권 만료,
99,사이버교과서박물관,도서별,懸吐具解 集註小學 下,盧益亭 著,1913,0,0,1,미부착,제1유형,저작권 만료,
100,사이버교과서박물관,도서별,普通學校 國語讀本 卷二,朝鮮總督府 編纂,1913,0,0,1,미부착,제1유형,저작권 만료,
101,사이버교과서박물관,도서별,通信敎授 ヴア井オリン講義錄,大日本家庭音樂會 編纂,1913,0,0,1,미부착,제1유형,저작권 만료,
102,사이버교과서박물관,도서별,普通學校 理科書 卷一,朝鮮總督府 編纂,1913,0,0,1,미부착,제1유형,저작권 만료,
103,사이버교과서박물관,도서별,新編唱歌集 全,朝鮮總督府 編纂,1914,0,0,1,미부착,제1유형,저작권 만료,
104,사이버교과서박물관,도서별,養蠶敎科書 ,朝鮮總督府 編纂,1914,0,0,1,미부착,제1유형,저작권 만료,
105,사이버교과서박물관,도서별,作物敎科書 ,朝鮮總督府 編纂,1914,0,0,1,미부착,제1유형,저작권 만료,
106,사이버교과서박물관,도서별,普通學校 農業書 卷一,朝鮮總督府 編纂,1914,0,0,1,미부착,제1유형,저작권 만료,
107,사이버교과서박물관,도서별,算術書 卷二 : 普通學校 敎師用,朝鮮總督府 著,1914,0,0,1,미부착,제1유형,저작권 만료,
108,사이버교과서박물관,도서별,農産製造敎科書,朝鮮總督府 編纂,1914,0,0,1,미부착,제1유형,저작권 만료,
109,사이버교과서박물관,도서별,作物病蟲害敎科書,朝鮮總督府 編纂,1914,0,0,1,미부착,제1유형,저작권 만료,
110,사이버교과서박물관,도서별,普通學校 農業書 卷二,朝鮮總督府 編纂,1914,0,0,1,미부착,제1유형,저작권 만료,
111,사이버교과서박물관,도서별,測量敎科書,朝鮮總督府 編纂,1914,0,0,1,미부착,제1유형,저작권 만료,
112,사이버교과서박물관,도서별,日本地理敎科書,朝鮮總督府 著,1914,0,0,1,미부착,제1유형,저작권 만료,
113,사이버교과서박물관,도서별,養蠶敎科書,朝鮮總督府 編纂,1914,0,0,1,미부착,제1유형,저작권 만료,
114,사이버교과서박물관,도서별,水産敎科書,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
115,사이버교과서박물관,도서별,普通學校 修身書 卷四,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
116,사이버교과서박물관,도서별,普通學校 農業書 卷一,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
117,사이버교과서박물관,도서별,普通學校 習字帖 卷四,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
118,사이버교과서박물관,도서별,普通學校 朝鮮語及漢文讀本 卷二,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
119,사이버교과서박물관,도서별,普通學校 朝鮮語及漢文讀本 卷一,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
120,사이버교과서박물관,도서별,農業理科敎科書,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
121,사이버교과서박물관,도서별,時文讀本 ,崔南善 撰,1916,0,0,1,미부착,제1유형,저작권 만료,
122,사이버교과서박물관,도서별,修身書 卷三 : 普通學校 敎師用,朝鮮總督府 編纂,1916,0,0,1,미부착,제1유형,저작권 만료,
123,사이버교과서박물관,도서별,算術書 卷四 : 普通學校 敎師用,朝鮮總督府 編纂,1916,0,0,1,미부착,제1유형,저작권 만료,
124,사이버교과서박물관,도서별,理科書 卷一 : 普通學校 敎師用,朝鮮總督府 編纂,1916,0,0,1,미부착,제1유형,저작권 만료,
125,사이버교과서박물관,도서별,高等 修身書 卷二,嘉納治五郞 著,1917,0,0,1,미부착,제1유형,저작권 만료,
126,사이버교과서박물관,도서별,原本備旨 大學集註 全,朝鮮書籍業組合編輯部 編纂,1917,0,0,1,미부착,제1유형,저작권 만료,
127,사이버교과서박물관,도서별,箋註四家詩 ,吳世昌 著,1917,0,0,1,미부착,제1유형,저작권 만료,
128,사이버교과서박물관,도서별,法制經濟敎科書,朝鮮總督府 編纂,1917,0,0,1,미부착,제1유형,저작권 만료,
129,사이버교과서박물관,도서별,普通學校 理科書 全 第四學年兒童用,朝鮮總督府 著,1917,0,0,1,미부착,제1유형,저작권 만료,
130,사이버교과서박물관,도서별,高等 修身書 卷一,嘉納治五郞 著,1917,0,0,1,미부착,제1유형,저작권 만료,
131,사이버교과서박물관,도서별,敎育科敎科書 敎育學 全,乙竹岩造 著,1917,0,0,1,미부착,제1유형,저작권 만료,
132,사이버교과서박물관,도서별,高等 修身書 卷一,嘉納治五郞 著,1917,0,0,1,미부착,제1유형,저작권 만료,
133,사이버교과서박물관,도서별,高等 修身書 卷二,嘉納治五郞 著,1917,0,0,1,미부착,제1유형,저작권 만료,
134,사이버교과서박물관,도서별,普通學校 算術書 第二學年 生徒用,朝鮮總督府 編纂,1918,0,0,1,미부착,제1유형,저작권 만료,
135,사이버교과서박물관,도서별,高等普通學校 修身敎科書 卷一,朝鮮總督府 編,1918,0,0,1,미부착,제1유형,저작권 만료,
136,사이버교과서박물관,도서별,一本口語法及文法敎科書,朝鮮總督府 編纂,1918,0,0,1,미부착,제1유형,저작권 만료,
137,사이버교과서박물관,도서별,尋常小學理科書 第五學年兒童用,文部省 ,1918,0,0,1,미부착,제1유형,저작권 만료,
