한국스포츠정책과학원 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
1,한국스포츠정책과학원,기보유 데이터 아카이빙,100m start (1),육상_크라우칭 스타트 자세,,0,1,0,미부착,제1유형,동의서 작성,
2,한국스포츠정책과학원,기보유 데이터 아카이빙,100m start (2),육상_크라우칭 스타트 자세,,0,1,0,미부착,제1유형,동의서 작성,
3,한국스포츠정책과학원,기보유 데이터 아카이빙,100m start (3),육상_크라우칭 스타트 자세,,0,1,0,미부착,제1유형,동의서 작성,
4,한국스포츠정책과학원,기보유 데이터 아카이빙,100m start (4),육상_크라우칭 스타트 자세,,0,1,0,미부착,제1유형,동의서 작성,
5,한국스포츠정책과학원,기보유 데이터 아카이빙,100m start (5),육상_크라우칭 스타트 자세,,0,1,0,미부착,제1유형,동의서 작성,
6,한국스포츠정책과학원,기보유 데이터 아카이빙,100m start_static,육상_정적 자세,,0,1,0,미부착,제1유형,동의서 작성,
7,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_L (1),검도_오른쪽에서 왼쪽으로 휘두르는 자세,,0,1,0,미부착,제1유형,동의서 작성,
8,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_L (2),검도_오른쪽에서 왼쪽으로 휘두르는 자세,,0,1,0,미부착,제1유형,동의서 작성,
9,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_L (3),검도_오른쪽에서 왼쪽으로 휘두르는 자세,,0,1,0,미부착,제1유형,동의서 작성,
10,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_L (4),검도_오른쪽에서 왼쪽으로 휘두르는 자세,,0,1,0,미부착,제1유형,동의서 작성,
11,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_L (5),검도_오른쪽에서 왼쪽으로 휘두르는 자세,,0,1,0,미부착,제1유형,동의서 작성,
12,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_L (6),검도_오른쪽에서 왼쪽으로 휘두르는 자세,,0,1,0,미부착,제1유형,동의서 작성,
13,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_R (1),검도_왼쪽에서 오른쪽으로 휘두르는 자세,,0,1,0,미부착,제1유형,동의서 작성,
14,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_R (2),검도_왼쪽에서 오른쪽으로 휘두르는 자세,,0,1,0,미부착,제1유형,동의서 작성,
15,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_R (3),검도_왼쪽에서 오른쪽으로 휘두르는 자세,,0,1,0,미부착,제1유형,동의서 작성,
16,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_R (4),검도_왼쪽에서 오른쪽으로 휘두르는 자세,,0,1,0,미부착,제1유형,동의서 작성,
17,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_R (5),검도_왼쪽에서 오른쪽으로 휘두르는 자세,,0,1,0,미부착,제1유형,동의서 작성,
18,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_R (6),검도_왼쪽에서 오른쪽으로 휘두르는 자세,,0,1,0,미부착,제1유형,동의서 작성,
19,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_static (1),검도_정적 자세,,0,1,0,미부착,제1유형,동의서 작성,
20,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_static (2),검도_정적 자세,,0,1,0,미부착,제1유형,동의서 작성,
21,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_static (3),검도_정적 자세,,0,1,0,미부착,제1유형,동의서 작성,
22,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_static (4),검도_정적 자세,,0,1,0,미부착,제1유형,동의서 작성,
23,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_static (5),검도_정적 자세,,0,1,0,미부착,제1유형,동의서 작성,
24,한국스포츠정책과학원,기보유 데이터 아카이빙,kendo_static (6),검도_정적 자세,,0,1,0,미부착,제1유형,동의서 작성,
25,한국스포츠정책과학원,기보유 데이터 아카이빙,long jump_L (1),멀리뛰기_왼다리로 힘판 밟고 멀리뛰기,,0,1,0,미부착,제1유형,동의서 작성,
26,한국스포츠정책과학원,기보유 데이터 아카이빙,long jump_L (2),멀리뛰기_왼다리로 힘판 밟고 멀리뛰기,,0,1,0,미부착,제1유형,동의서 작성,
27,한국스포츠정책과학원,기보유 데이터 아카이빙,long jump_L (3),멀리뛰기_왼다리로 힘판 밟고 멀리뛰기,,0,1,0,미부착,제1유형,동의서 작성,
