국립해양문화재연구소 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
1,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「김영공」이 적힌 죽찰,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
2,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「김순영」이 적힌 죽찰,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
3,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「나주광흥창」이 적힌 목간,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
4,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「나주광흥창」이 적힌 죽찰(복제),,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
5,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「내섬」이 새겨진 분청사기 국화무늬 접시,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
6,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「내섬」이 새겨진 분청사기 꼰 줄무늬 사발,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
7,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「내섬」이 새겨진 분청사기 연꽃 국화무늬 대접,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
8,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「대경유」가 적힌 목간,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
9,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「대정인수」가 적힌 목간(복제),,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
10,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「무진」이 적힌 목간,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
11,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「정묘」가 적힌 목간,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
12,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「정묘」가 적힌 죽찰,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
13,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「죽산현」이 적힌 죽찰,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
14,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「최대경」이 적힌 목간(복제),,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
15,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,「탐진현」이 적힌 목간,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
16,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,가태통보,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
17,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,갈고리형 목제품,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
18,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,갈유 네 귀달린 항아리,,,0,1,0,제4유형,제1유형,업무상저작물,
19,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,갈유사이장신호,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
20,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,"감씨,곶감꼬지",,,0,1,0,제4유형,제1유형,업무상저작물,
21,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,갑각류 껍질,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
22,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,갑발편,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
23,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,경우원보,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
24,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,관상토추,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
