한국영상자료원 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리 진입과정,파일명,형태,년도,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
1,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,이렇게 된 이상 청와대로 간다,기증,2022,0,1,0,미부착,개방불가,없음,
2,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,범죄도시2,기증,2022,0,1,0,미부착,개방불가,없음,
3,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,헌트,기증,2022,0,1,0,미부착,개방불가,없음,
4,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,한산:용의 출현,기증,2022,0,1,0,미부착,개방불가,없음,
5,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,오징어 게임,기증,2022,0,1,0,미부착,개방불가,없음,
6,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,일장춘몽,기증,2022,0,1,0,미부착,개방불가,없음,
7,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,외계+인 1부,기증,2022,0,1,0,미부착,개방불가,없음,
8,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,브로커,기증,2022,0,1,0,미부착,개방불가,없음,
9,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,비상선언,기증,2022,0,1,0,미부착,개방불가,없음,
10,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,약한영웅 class 1,기증,2022,0,1,0,미부착,개방불가,없음,
11,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,남산의 부장들,기증,2021,0,1,0,미부착,개방불가,없음,
12,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,자산어보,기증,2021,0,1,0,미부착,개방불가,없음,
13,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,최선의 삶,기증,2021,0,1,0,미부착,개방불가,없음,
14,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,야구소녀,기증,2020,0,1,0,미부착,개방불가,없음,
15,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,정직한 후보,기증,2020,0,1,0,미부착,개방불가,없음,
16,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,지푸라기라도 잡고 싶은 짐승들,기증,2020,0,1,0,미부착,개방불가,없음,
17,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,삼진그룹 영어토익반,기증,2020,0,1,0,미부착,개방불가,없음,
18,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,극한직업,기증,2019,0,1,0,미부착,개방불가,없음,
19,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,기생충,기증,2019,0,1,0,미부착,개방불가,없음,
20,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,독전,기증,2019,0,1,0,미부착,개방불가,없음,
21,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,신과 함께,기증,2019,0,1,0,미부착,개방불가,없음,
22,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,마약왕,기증,2019,0,1,0,미부착,개방불가,없음,
23,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,봉오동 전투,기증,2019,0,1,0,미부착,개방불가,없음,
24,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,엑시트,기증,2019,0,1,0,미부착,개방불가,없음,
25,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,벌새,기증,2019,0,1,0,미부착,개방불가,없음,
26,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,장사리,기증,2019,0,1,0,미부착,개방불가,없음,
27,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,증인,기증,2019,0,1,0,미부착,개방불가,없음,
28,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,공작,기증,2018,0,1,0,미부착,개방불가,없음,
29,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,인랑,기증,2018,0,1,0,미부착,개방불가,없음,
30,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,버닝,기증,2018,0,1,0,미부착,개방불가,없음,
31,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,챔피언,기증,2018,0,1,0,미부착,개방불가,없음,
