한국지역정보개발원(KLID) 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리 진입과정,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
1,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,정보화마을 법제화연구,,2008-03-24 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
2,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,서비스만족도 조사모형 연구,,2006-12-04 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
3,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,행정정보시스템의 공간정보 수요분석 및 활용방안 연구,,2006-12-04 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
4,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,시도·시군구행정정보시스템 운영관리 규정안 연구,,2006-12-04 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
5,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,정보화마을 운영평가 지표체계 개발,,2006-12-21 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
6,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,S/W 공동활용을 위한 평가지표 체계 개발,,2006-12-21 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
7,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,무인민원발급창구 운영방안 연구 보고서,,2008-03-25 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
8,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,전자정부법 체계 정비 방안 연구보고서,,2008-03-26 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
9,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,2006 지방자치단체 전자정부추진평가,,2008-05-23 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
10,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,정보화마을 특성별 발전 방안(4/4),,2010-03-03 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
11,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,자치단체 자율통합에 대비한 정보시스템 통합방안 연구,,2010-01-27 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
12,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,자치단체 자율통합에 대비한 정보시스템 통합방안 연구(부록_공통표준시스템 시나리오),,2010-01-27 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
