순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
1,영상,경제/산업/일상,국제방송교류재단,아리랑국제방송,TV,[K-PEOPLE] AI Film Director Kwon Hansl,1DAY 1KOREA,2024-06-18 00:00:00,1,미부착,제4유형,무,,[K-PEOPLE] AI Film Director Kwon Hansl,,영상,영상,,방송,영어/한국어,,2024-06-18 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-06-18 00:00:00,,
2,영상,경제/산업/일상,국제방송교류재단,아리랑국제방송,TV,[K-FOOD] Korean Fried Chicken,1DAY 1KOREA,2024-06-12 00:00:00,1,미부착,제4유형,무,,[K-FOOD] Korean Fried Chicken,,영상,영상,,방송,영어/한국어,,2024-06-12 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-06-12 00:00:00,,
3,영상,경제/산업/일상,국제방송교류재단,아리랑국제방송,TV,[K-FOOD] Sujebi,1DAY 1KOREA,2024-06-05 00:00:00,1,미부착,제4유형,무,,[K-FOOD] Sujebi,,영상,영상,,방송,영어/한국어,,2024-06-05 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-06-05 00:00:00,,
4,영상,예술,국제방송교류재단,아리랑국제방송,TV,630 - E'LAST (엘라스트),After School Club,2024-06-11 00:00:00,1,미부착,제4유형,무,,630 - E'LAST (엘라스트),,영상,영상,,방송,영어/한국어,,2024-06-11 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-06-11 00:00:00,,
5,영상,예술,국제방송교류재단,아리랑국제방송,TV,629 - ARTMS(아르테미스),After School Club,2024-06-04 00:00:00,1,미부착,제4유형,무,,629 - ARTMS(아르테미스),,영상,영상,,방송,영어/한국어,,2024-06-04 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-06-04 00:00:00,,
6,영상,예술,국제방송교류재단,아리랑국제방송,TV,628 - MCND (엠씨엔디),After School Club,2024-05-28 00:00:00,1,미부착,제4유형,무,,628 - MCND (엠씨엔디),,영상,영상,,방송,영어/한국어,,2024-05-28 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-05-28 00:00:00,,
7,영상,예술,국제방송교류재단,아리랑국제방송,TV,627 - LEO (리오),After School Club,2024-05-21 00:00:00,1,미부착,제4유형,무,,627 - LEO (리오),,영상,영상,,방송,영어/한국어,,2024-05-21 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-05-21 00:00:00,,
8,영상,예술,국제방송교류재단,아리랑국제방송,TV,626 - 82MAJOR (에이티투메이저),After School Club,2024-05-14 00:00:00,1,미부착,제4유형,무,,626 - 82MAJOR (에이티투메이저),,영상,영상,,방송,영어/한국어,,2024-05-14 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-05-14 00:00:00,,
9,영상,예술,국제방송교류재단,아리랑국제방송,TV,625 - ONEWE (원위),After School Club,2024-05-07 00:00:00,1,미부착,제4유형,무,,625 - ONEWE (원위),,영상,영상,,방송,영어/한국어,,2024-05-07 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-05-07 00:00:00,,
10,영상,예술,국제방송교류재단,아리랑국제방송,TV,624 - EPEX (이펙스),After School Club,2024-04-30 00:00:00,1,미부착,제4유형,무,,624 - EPEX (이펙스),,영상,영상,,방송,영어/한국어,,2024-04-30 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-04-30 00:00:00,,
11,영상,예술,국제방송교류재단,아리랑국제방송,TV,623 - NOWADAYS (나우어데이즈),After School Club,2024-04-23 00:00:00,1,미부착,제4유형,무,,623 - NOWADAYS (나우어데이즈),,영상,영상,,방송,영어/한국어,,2024-04-23 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-04-23 00:00:00,,
12,영상,예술,국제방송교류재단,아리랑국제방송,TV,622 - CRAVITY (크래비티),After School Club,2024-04-16 00:00:00,1,미부착,제4유형,무,,622 - CRAVITY (크래비티),,영상,영상,,방송,영어/한국어,,2024-04-16 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-04-16 00:00:00,,
13,영상,예술,국제방송교류재단,아리랑국제방송,TV,621 - ILLIT (아일릿),After School Club,2024-04-09 00:00:00,1,미부착,제4유형,무,,621 - ILLIT (아일릿),,영상,영상,,방송,영어/한국어,,2024-04-09 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-04-09 00:00:00,,
