순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
1,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 계룡산 갑사 시찰,2012이승만2차_2235.jpg,1957,1,비표출,제4유형,유,,이승만 대통령 계룡산 갑사 시찰,,사진,이미지,,역사,한국어,1957,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2027,,
2,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 계룡산 갑사 시찰,2012이승만2차_2236.jpg,1957,1,비표출,제4유형,유,,이승만 대통령 계룡산 갑사 시찰,,사진,이미지,,역사,한국어,1957,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2027,,
3,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 관촉사 시찰,2012이승만2차_2237.jpg,1957,1,비표출,제4유형,유,,이승만 대통령 관촉사 시찰,,사진,이미지,,역사,한국어,1957,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2027,,
4,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 일행 관촉사 시찰 기념촬영,2012이승만2차_2238.jpg,1957,1,비표출,제4유형,유,,이승만 대통령 일행 관촉사 시찰 기념촬영,,사진,이미지,,역사,한국어,1957,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2027,,
5,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,주요 인사와 인사를 나누는 이승만 대통령,2012이승만2차_2239.jpg,1954,1,비표출,제4유형,유,,주요 인사와 인사를 나누는 이승만 대통령,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
6,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 미국 방문시 차량 이동,2012이승만2차_2240.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 미국 방문시 차량 이동,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
7,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 미 의회 연설 청중,2012이승만2차_2241.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 미 의회 연설 청중,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
8,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 미 의회 연설,2012이승만2차_2242.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 미 의회 연설,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
9,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 미 의회 연설 뒤 기자회견,2012이승만2차_2243.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 미 의회 연설 뒤 기자회견,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
10,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 미국 감리교회 연설,2012이승만2차_2244.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 미국 감리교회 연설,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
