순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
1,이미지,문화유산,국가유산청,국가유산청,국가유산청,촬영본,,2024,430,전환구축,제1유형,유,,촬영본,,사진,이미지,,문화유산,한국어,2024,,저작재산권양도계약서,국가유산청,,,,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,,2094,,
2,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",익산 연동리석불좌상,"연동리석불좌상 광배(우측면)
소재지 : 전라북도 익산시 삼기면 연동리 2202
소유자 : 국유
규모: 전체 높이 : 4.48m, 불상 높이 : 1.69m
재질: 화강암
시대 : 벡제 7세기 전반",1982,1,미부착,제4유형,유,,익산 연동리석불좌상,,사진,이미지,,문화유산,한국어,1982,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
3,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",용담사지 석불입상,"용담사지 석불입상_2
소재지 : 전라북도 남원시 주천면 용담리 298
소유자 : 국유
규모: 높이 : 6m
재질: 화강암
시대 : 고려시대",1984,1,미부착,제4유형,유,,용담사지 석불입상,,사진,이미지,,문화유산,한국어,1984,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
4,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",용담사지 석불입상,"석불입상의 상반신(얼굴 부분)
소재지 : 전라북도 남원시 주천면 용담리 298
소유자 : 국유
규모: 높이 : 6m
재질: 화강암
시대 : 고려시대",미확인,1,미부착,제4유형,유,,용담사지 석불입상,,사진,이미지,,문화유산,한국어,미확인,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
5,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",용담사지 석불입상,"연화 대좌의 연꽃 무늬
소재지 : 전라북도 남원시 주천면 용담리 298
소유자 : 국유
규모: 높이 : 6m
재질: 화강암
시대 : 고려시대",미확인,1,미부착,제4유형,유,,용담사지 석불입상,,사진,이미지,,문화유산,한국어,미확인,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
6,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",용담사지 석불입상,"용담사지 석불입상_1
소재지 : 전라북도 남원시 주천면 용담리 298
소유자 : 국유
규모: 높이 : 6m
재질: 화강암
시대 : 고려시대",미확인,1,미부착,제4유형,유,,용담사지 석불입상,,사진,이미지,,문화유산,한국어,미확인,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
7,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",만복사지 석불입상,"만복사지 석불입상_5
소재지 : 전라북도 남원시 왕정동 482 만복사지
소유자 : 국유
규모: 높이 : 3.74m
재질: 화강암
시대 : 고려 11세기",1996,1,미부착,제4유형,유,,만복사지 석불입상,,사진,이미지,,문화유산,한국어,1996,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
8,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",만복사지 석불입상,"광배 뒷면 음각 여래입상
소재지 : 전라북도 남원시 왕정동 482 만복사지
소유자 : 국유
규모: 높이 : 3.74m
재질: 화강암
시대 : 고려 11세기",2001,1,미부착,제4유형,유,,만복사지 석불입상,,사진,이미지,,문화유산,한국어,2001,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
9,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",만복사지 석불입상,"만복사지 석불입상_2
소재지 : 전라북도 남원시 왕정동 482 만복사지
소유자 : 국유
규모: 높이 : 3.74m
재질: 화강암
시대 : 고려 11세기",2001,1,미부착,제4유형,유,,만복사지 석불입상,,사진,이미지,,문화유산,한국어,2001,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
10,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",만복사지 석불입상,"광배 뒷면 음각 여래입상_3
소재지 : 전라북도 남원시 왕정동 482 만복사지
소유자 : 국유
규모: 높이 : 3.74m
재질: 화강암
시대 : 고려 11세기",2001,1,미부착,제4유형,유,,만복사지 석불입상,,사진,이미지,,문화유산,한국어,2001,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
